ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 1892|9969738033503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9969738033503681,,"",,[between 1650 and 1699?],1650-1699,http://vocab.getty.edu/aat/300404511,,,"","",Abridged history of Arab dynasties.,"","Codices (bound manuscripts).|Abridgements.|Manuscripts, Arabic--17th century.",,Islamic Empire--History.|Islamic Empire--Kings and rulers.,,"","",,"","",,"","",,Arabic.,ara,"Makiya, Mohamed,","",,,paper ;,Extent: 150 leaves : paper ; 300 x 205 (204 x 115) mm bound to 300 x 204 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1893.|9969738073503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9969738073503681,,"[Syria?],",,A.H. 1233 (1818),1818,http://vocab.getty.edu/aat/300404513,,,"","",al-Fatḥ al-ẓāhir wa-al-naṣr al-bāhir fī fann ramy al-ṭūb wa-al-qunburah.,الفتح الظاهر والنصر الباهر في فن رمي الطوب والقنبرة.,"Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Diagrams.|Tables (documents)",,"Artillery--History.|Turkey--History--Ottoman Empire, 1288-1918.",,"ʻAṭṭār, Muḥammad ibn Ḥusayn, 1764-1827 or 1828.",عطار، محمد بن حسين، 1764-1827 or 1828,,"","",,"","",,Arabic.,ara,"Makiya, Mohamed,","",,,"paper, illustrations ;","Extent: 21 leaves : paper, illustrations ; 216 x 156 mm bound to 218 x 158 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1958|9970745763503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9970745763503681,,"[India?],",,"A.H. 1224, 1259 (1809, 1843)",1809-1843,http://vocab.getty.edu/aat/300404513,,,Inshā-yi Mādhava Rāma.,"",Inshā-yi Mādhava Rāma. Inshā-yi Dilkushā.,انشاى مادهو‌ رام. انشاى دلکشا.,"Codices (bound manuscripts)|Manuscripts, Persian--19th century.|Manuals (instructional materials)",,"Letter writing, Persian.|Persian prose literature.|Persian letters.",,Mādhava Rāma.,مادهو رام.,,"","",,"","",,Persian.,per,"Sohoni, Pushkar,","",,,paper ;,Extent: 133 leaves : paper ; 253 x 165 (201 x 100; 220 x 120) mm bound to 258 x 170 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Indic 6|9972460113503681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9972460113503681,,"[India,",,between 1800 and 1850?],1800-1850,http://vocab.getty.edu/aat/300404513,,,Puranas.,"",Bisnu Purān.,بسن پران.,"Poems.|Paintings (visual works)|Miniatures (paintings)|Manuscripts, Persian--19th century.|Manuscripts--India--19th century.|Manuscripts.",,Vishnu (Hindu deity)|Hindu mythology.|Avatars (Religion)|Avatars (Religion)|Hindu mythology.|Vishnu (Hindu deity),,"","",,"","",,"","",,Persian.,per,"Bourelier, Françoise,|Bourelier, Claude,",|,,,"paper, illustrations ;","Extent: 136, 4 leaves : paper, illustrations ; 300 x 180 (210 x 110) mm bound to 308 x 190 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1895|9977325732103681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977325732103681,,"[Turkey],",,A.H. 956 (1549),1549,http://vocab.getty.edu/aat/300404510,,,Akhtarī kabīr.,"",Kalimāt ʻarabīyah ʻalá tartīb ḥurūf al-tahajjī.,كلمات عربية على ترتيب حروف التهجي.,"Dictionaries.|Codices (bound manuscripts)|Manuscripts, Arabic--16th century.|Manuscripts, Turkish--16th century.",,Arabic language--Dictionaries--Turkish.,,"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561.",اختري، مصطفى بن احمد.,,"","",,"Ibn Barī Khān, ʻAbd al-Fattāḥ,",ابن بري خان، عبد الفتاح.,,"Arabic headwords, Ottoman definitions.",ara|ota,"","",,,paper ;,Extent: 206 leaves : paper ; 205 x 148 mm (145 x 90) mm bound to 212 x 155 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1894|9977325732203681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977325732203681,,"",,A.H. 1204 (1789),1789,http://vocab.getty.edu/aat/300404512,,,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalawāt ʻalá al-nabī al-mukhtār.,دلائل الخيرات و شوارق الانوار في ذكر الصلوات على النبي المختار.,"Codices (bound manuscripts)|Manuscripts, Arabic--18th century.|Illuminations (painting)|Miniatures (paintings)|Prayers (literary works)",,Islam--Prayers and devotions--Early works to 1800.|Prayer--Islam--Early works to 1800.|Medina (Saudi Arabia)--Pictorial works.,,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",جزولي، محمد بن سليمان، -1465.,,"","",,"ʻAshāfī, Ḥāfiẓ Muṣṭafá al-Nāfawī,",عشافي، حافظ مصطفى النافوي.,,Arabic.,ara,"","",,,"paper, illustrations, illuminations ;","Extent: 124 leaves : paper, illustrations, illuminations ; 185 x 120 (115 x 62) mm bound to 187 x 130 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1909|9977406946003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406946003681,,"",,[between 1750 and 1850?],1750-1850,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن.,"Codices (bound manuscripts)|Amulets.|Qurʼans.|Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.",,"",,"","",,"","",,"","",,Arabic.,ara,"Block, Gordon A., Jr., 1914-1973,","",,,"laid paper, illuminations ;","Extent: 146 leaves : laid paper, illuminations ; 47 x 47 (33 x 33) mm bound to 47 x 47 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1916|9977406946103681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406946103681,,"[North Africa?],",,A.H. 1206 (1792),1792,http://vocab.getty.edu/aat/300404512,,,"","",Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik.,شرح مختصر على ألفية ابن مالك.,"Codices (bound manuscripts)|Commentaries.|Manuscripts, Arabic--18th century.",,"Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah.|Arabic language--Grammar--Early works to 1800.",,"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405.",مكودي، عبد الرحمن بن علي، -1404 أو  1405.,,"","",,"","",,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,Extent: 214 leaves : paper ; 215 x 160 (140 x 95) mm bound to 215 x 170 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1918|9977406951103681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406951103681,,"[Morocco?],",,[between 1500 and 1799?),1500-1799,http://vocab.getty.edu/aat/300404510-http://vocab.getty.edu/aat/300404511-http://vocab.getty.edu/aat/300404512,,,"","",Sirr al-asrār fī ʻilm al-āthār ; Shamsīyah fī al-kashf ʻan mā awdaʻ fī al-Jadāwil al-zahrīyah.,سر الاسرار في علم الاثار ؛ شمسية في الكشف عن ما أودع في الجداول الزهرية.,"Codices (bound manuscripts)|Tables (documents)|Manuscripts, Arabic--16th century.|Manuscripts, Arabic--17th century.|Manuscripts, Arabic--18th century.|Manuscripts, Medieval.",,Divination--Religious aspects--Islam.|Geomancy.,,"Shāfiʻī, Shams al-Dīn.",شافعي، شمس الدين.,,"","",,"","",,Arabic.,ara,"Williams, Talcott, 1849-1928,","",,,"paper, illustrations ;","Extent: 66 leaves : paper, illustrations ; 215 x 160 (175 x 110) mm bound to 215 x 170 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1917|9977406951203681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406951203681,,"",,[between 1775 and 1825?],1775-1825,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن.,"Codices (bound manuscripts)|Illuminations (painting)|Qurʼans.|Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.",,"",,"","",,"","",,"","",,Arabic.,ara,"Camac, William, 1829-1900,","",,,"paper, illuminations ;","Extent: 198 leaves : paper, illuminations ; 100 x 60 (73 x 36) mm bound to 100 x 62 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1915|9977406951403681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406951403681,,"[North Africa,",,between 1830 and 1899?],1830-1899,http://vocab.getty.edu/aat/300404513,,,"","",Natāj al-fikr fī kashf asrār al-Mukhtaṣar.,نتاج الفكر في كشف اسرار المختصر.,"Codices (bound manuscripts)|Commentaries.|Manuscripts, Arabic--19th century.",,"Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar.|Malikites.|Islamic law--Early works to 1800.",,"Zurqānī, ʻAbd al-Bāqī ibn Yūsuf, 1611-1688.",زرقاني، عبد الباقي بن يوسف.,,"","",,"","",,Arabic.,ara,"Jastrow, Marcus, 1829-1903,|Jastrow, Morris, Jr., 1861-1921,",|,,,paper ;,Extent: 318 leaves : paper ; 230 x 180 (150 x 105) mm bound to 230 x 185 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1914|9977406951603681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406951603681,,"[Morocco?],",,A.H. 1106 (1695),1695,http://vocab.getty.edu/aat/300404511,,,"","",Sharḥ al-muqaddimah al-Qurṭubīyah... etc.,شرح المقدمة القرطبية... إلخ.,"Codices (bound manuscripts)|Poems.|Commentries.|Manuscripts, Arabic--17th century.",,Arabic language--Versification--Early works to 1800.|Malikites--Early works to 1800.|Arabic poetry--Early works to 1800.,,"","",,"","",,"","",,Arabic.,ara,"Jastrow, Morris, Jr., 1861-1921,|Jastrow, Marcus, 1829-1903,",|,,,paper ;,Extent: 141 leaves : paper ; 170 x 130 (130 x 80) mm bound to 170 x 140 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1904|9977406951903681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406951903681,,"Malta,",,A.H. 1065 (1654),1654,http://vocab.getty.edu/aat/300404511,,,Qurʼan.,قرآن.,al-Qurʼān,القرآن,"Codices (bound manuscripts)|Illuminations (painting)|Qurʼans.|Manuscripts, Arabic--17th century.",,"",,"","",,"","",,"Fāsī, Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir,",فاسي، محمد بن عبد الواحد بن عبد القادر.,,Arabic.,ara,"Block, Gordon A., Jr., 1914-1973,","",,,"paper, illuminations ;","Extent: 238 leaves : paper, illuminations ; 87 x 86 (63 x 57) mm bound to 87 x 92 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1903|9977406952003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406952003681,,"[Turkey?],",,A.H. 1119 (1708),1708,http://vocab.getty.edu/aat/300404512,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن.,"Codices (bound manuscripts)|Illuminations (painting)|Qurʼans.|Manuscripts, Arabic--18th century.",,"",,"","",,"","",,"Lārndawī, ʻAbd Allāh al-Ḥusnī ibn al-Ḥājj ʻAbdī,",لارندوي، عبد الله الحسني بن الحاج عبدي.,,Arabic.,ara,"McClenahan, Jean P., 1908-1994,","",,,"paper, illuminations ;","Extent: 304 leaves : paper, illuminations ; 170 x 105 (115 x 65) mm bound to 170 x 123 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1902|9977406952203681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406952203681,,"",,[between 1830 and 1899?],1830-1899,http://vocab.getty.edu/aat/300404513,,,"","",Devotional book.,"","Codices (bound manuscripts)|Illuminations (painting)|Prayers (literary works)|Manuscripts, Arabic--19th century.|Manuscripts, Arabic--18th century.",,Islam--Prayers and devotions.|Prayer--Islam.,,"","",,"","",,"Ḥāfiẓ al-Qurʼan, Aḥmad,",حافظ القرأن، احمد.,,Arabic.,ara,"McClenahan, Jean P., 1908-1994,","",,,"paper, illuminations ;","Extent: 101 leaves : paper, illuminations ; 170 x 105 (115 x 65) mm bound to 170 x 120 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1901|9977406952303681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406952303681,,"[Turkey?],",,A.H. 1258? (1842),1842-1842,http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن.,"Codices (bound manuscripts)|Illuminations (painting)|Qurʼans.|Manuscripts, Arabic--19th century.",,"",,"","",,"","",,"Ṣidqī, Khalīl,",صدقي، خليل.,,Arabic.,ara,"Swarthmore College,","",,,"paper, illuminations ;","Extent: 301 leaves : paper, illuminations ; 160 x 105 (102 x 52) mm bound to 162 x 115 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 1897|9977406953003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977406953003681,,"",,[between 1830 and 1899?],1830-1899,http://vocab.getty.edu/aat/300404513,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن.,"Codices (bound manuscripts)|Qurʼans.|Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.",,"",,"","",,"","",,"","",,Arabic.,ara,"Shore, Offley Bohun Stovin Fairless, 1863-1922,","",,,paper ;,Extent: 477 leaves : paper ; 295 x 185 (212 x 106) mm bound to 295 x 195 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1910|9977424453803681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977424453803681,,"",,A.H. 1259 (1878),1878,http://vocab.getty.edu/aat/300404513,,,Dalāʼil al-khayrāt.,دلائل الخيرات.,Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār.,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,"Manuscripts, Arabic--19th century.|Codices (bound manuscripts)|Illuminations (painting)|Miniatures (paintings)|Prayers (literary works)",,"Muḥammad,--Prophet,---632--Devotional literature.|Islam--Prayers and devotions--Early works to 1800.|Prayer--Islam--Early works to 1800.|Mecca (Saudi Arabia)--Pictorial works.|Medina (Saudi Arabia)--Pictorial works.",,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465.",جزولي، محمد بن سليمان، -1465.,,"","",,"","",,Arabic with some marginalia in Persian.,ara|per,"Block, Gordon A., Jr., 1914-1973,","",,,"paper, illustrations, illuminations ;","Extent: 130 leaves : paper, illustrations, illuminations ; 207 x 133 (130 x 66) mm bound to 207 x 133 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1913|9977459936703681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459936703681,,"",,[17-- or 18--?],1700-1899,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,"","",al-Risālah al-dāmighah lil-fāsiq... etc..,الرسالة الدامغة للفاسق... إلخ..,"Codices (bound manuscripts)|Sacred books.|Manuscripts, Arabic--18th century.|Manuscripts, Arabic--19th century.",,Druzes--Sacred books--Early works to 1800.|Druzes.,,"","",,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 108 leaves : paper ; 160 x 120 (130 x 110) mm bound to 160 x 120 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1912|9977459936903681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459936903681,,"[India?],",,[18--?],1800-1899,http://vocab.getty.edu/aat/300404513,,,Puranas.,"",Bhāgavatapurāṇa.,بهگوت پوران.,"Codices (bound manuscripts)|Manuscripts, Persian--19th century.",,Hindu mythology.|Avatars (Religion),,"","",,"","",,"","",,Persian.,per,"","",,,paper ;,Extent: 171 leaves : paper ; 245 x 155 (190 x 105) mm bound to 250 x 158 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Misc Mss Box 24 Folder 4|9977459937003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459937003681,,"",,[between 1550 and 1699?],1550-1699,http://vocab.getty.edu/aat/300404510-http://vocab.getty.edu/aat/300404511,,,Qurʼan.,قرآن.,Qurʼān leaves.,"","Detached leaves.|Excerpts.|Manuscripts, Arabic--16th century.|Manuscripts, Arabic--17th century.",,"",,"","",,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 2 leaves : paper ; 230 x 160 (190 x 120) mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Misc Mss Box 24 Folder 3|9977459937103681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459937103681,,"",,[between 1550 and 1699?],1550-1699,http://vocab.getty.edu/aat/300404510-http://vocab.getty.edu/aat/300404511,,,"","",Selections from commentaries on Alfīyat Ibn Mālik.,"","Detached leaves.|Excerpts.|Manuscripts, Arabic--16th century.|Manuscripts, Arabic--17th century.",,"Ibn Mālik, Muḥammad ibn ʻAbd Allāh,---1274.--Alfīyah.|Arabic language--Grammar--Early works to 1800.",,"","",,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 3 leaves : paper ; 260 x 200 (160 x 110) mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 1952|9977459940003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459940003681,,"[India?] ,",,[between 1750 and 1825?],1750-1825,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,Khamsah.,خمسه.,Khamsah.,خمسه.,"Codices (bound manuscripts)|Poems.|Illuminations (painting)|Manuscripts, Persian--18th century.",,Persian literature--747-1500.,,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203.",نظامى گنجوى، 1140 یا 1141-1202 یا 1203.,,"","",,"","",,Persian.,per,"Wylie, Theodore W. J. 1818-1897,","",,,"paper, illuminations ;","Extent: 289 leaves : paper, illuminations ; 331 x 175 (255 x 128) mm bound to 332 x 187 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1907|9977459940203681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459940203681,,"",,[between 1700? and 1723],1700-1723,http://vocab.getty.edu/aat/300404512,,,Qurʼan.,قرآن.,al-Qurʼān.,القرآن,"Codices (bound manuscripts)|Illuminations (painting)|Qurʼans.|Manuscripts, Arabic--18th century.",,"",,"","",,"","",,"","",,Arabic.,ara,"Block, Gordon A., Jr., 1914-1973,","",,,"paper, illuminations ;","Extent: 224 leaves : paper, illuminations ; 113 x 70 (85 x 41) mm bound to 116 x 75 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1900|9977459940303681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459940303681,,"[Iran?],",,A.H. 960 (1553),1553,http://vocab.getty.edu/aat/300404510,,,"","",al-Tuḥfah al-shāhīyah fī al-hayʼah.,التحفة الشاهية في الهيئة.,"Codices (bound manuscripts)|Diagrams.|Manuscripts, Arabic--16th century.",,"Astronomy--Early works to 1800.|Astronomy, Arab--Early works to 1800.",,"Quṭb al-Shīrāzī, Maḥmūd ibn Masʻūd, 1236 or 1237-1310 or 1311.",قطب الشيرازي، محمود بن مسعود، 1236 أو 1237-1310 أو 1311.,,"","",,"Iṣfahānī, Ṣ̣adr al-Dīn Muḥammad ibn Kamāl al-Dīn,",اصفهاني، صدر الدين محمد بن كمال الدين.,,Arabic.,ara,"Īrawānī, Qāsim,",ايرواني، قاسم.,,,"paper, illustrations ;","Extent: 164 leaves : paper, illustrations ; 215 x 125 (135 x 65) mm bound to 218 x 120 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1899|9977459940803681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459940803681,,"[Turkey?],",,A.H. 1124 (1712),1712,http://vocab.getty.edu/aat/300404512,,,"","",Munshaʼāt-i Ḥaz̤rat-i Nābī Afandī,منشئات حضرت نابى افندى.,"Codices (bound manuscripts)|Letters (correspondence)|Illuminations (painting)|Manuscripts, Persian--18th century.",,"Nabi,--1641 or 1642-1712--Correspondence.|Turkey--History--1683-1829--Early works to 1800.|Turkey--Politics and government--17th century--Early works to 1800.",,"Nabi, 1641 or 1642-1712.",نابی، 1641 ياخود  1642-1712.,,"","",,"","",,Persian.,per,"Z̤amāqavī, Aḥmad Rifʻat ibn al-Ḥājj Muḥammad Fākhir,|Swarthmore College,",ضماقوى، احمد رفعت بن الحاج محمد فاخر.|,,,"paper, illuminations ;","Extent: 301 leaves : paper, illuminations ; 215 x 130 (140 x 68) mm bound to 217 x 135 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1898|9977459940903681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459940903681,,"[Egypt?],",,A.H. 1181 (1767),1767,http://vocab.getty.edu/aat/300404512,,,"","",Kitāb al-Tawākiz al-muḥarrarah wa-al-ḍamāʼir al-mustakhbarah.,كتاب التواكز المحررة والضمائر المستخبرة.,"Codices (bound manuscripts)|Diagrams.|Tables (documents)|Manuscripts, Arabic--18th century.",,Divination--Early works to 1800.|Islamic magic--Early works to 1800.,,"ʻAjamī, Kurdī Sayyidī Maḥmūd.",عجمي، كردي سيدي محمود.,,"","",,"","",,Arabic.,ara,"Haussmann, Carl Frederick, 1871-,","",,,"paper, illustrations ;","Extent: 232 leaves : paper, illustrations ; 220 x 155 (160 x 110) mm bound to 220 x 155 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 1896|9977459941003681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459941003681,,"",,A.H. 1015 (1607),1607,http://vocab.getty.edu/aat/300404511,,,"","",Kanz al-daqāʼiq.,كنز الدقائق.,"Manuscripts, Arabic,--17th century.|Codices (bound manuscripts)|Blind tooled (decoration)",,Hanafites--Early works to 1800.|Islamic law--Early works to 1800.,,"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310.",نسفي، عبد الله بن احمد، -1310.,,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 175 leaves : paper ; 300 x 200 (203 x 115) mm bound to 300 x 204 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Oversize Ms. Codex 1951|9977459941103681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977459941103681,,"[North Africa?],",,[between 1600 and 1799?],1600-1799,http://vocab.getty.edu/aat/300404511-http://vocab.getty.edu/aat/300404512,,,"","",Irshād al-sārī.,إرشاد الساري.,"Manuscripts, Arabic,--17th century.|Manuscripts, Arabic,--18th century.|Codices (bound manuscripts)|Commentaries.|Envelope flaps (features)|Onlays (decoration)",,"Bukhārī, Muḥammad ibn Ismāʻīl,--810-870.--Jāmiʻ al-ṣaḥīḥ.|Hadith--Criticism, interpretation, etc.--Early works to 1800.",,"Qasṭallānī, Aḥmad ibn Muḥammad, 1447 or 1448-1517 or 1518.",قسطلاني، احمد بن محمد، 1447 أو 1448-1517 أو 1518.,,"","",,"","",,Arabic.,ara,"","",,,paper ;,Extent: 227 leaves : paper ; 295 x 208 (230 x 140) mm bound to 295 x 225 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Codex 1911|9977508749303681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977508749303681,,"[Morocco],",,[between 1750 and 1850?],1750-1850,http://vocab.getty.edu/aat/300404512-http://vocab.getty.edu/aat/300404513,,,"","",al-Ḥawḍ. Baḥr al-dumūʻ.,الحوض. بحر الدموع.,"Codices (bound manuscripts)|Manuscripts, Tashelhit--18th century.|Manuscripts, Tashelhit--19th century.",,Islam--Customs and practices--Early works to 1800.|Islam--Doctrines--Early works to 1800.|Islamic law--Early works to 1800.|Tamazight poetry--Morocco--Texts.|Berber poetry--Morocco--Texts.,,"Hawzālī, Muḥammad ibn ʻAlī, -1748 or 1749.",هوزالي، محمد بن علي، 1748 أو 1749.,,"","",,"","",,Tashelhit / Shilha.,ber,"Williams, Talcott, 1849-1928,","",,,paper ;,Extent: 189 leaves : paper ; 230 x 170 (170 x 90) mm bound to 235 x 187 mm.,,2022-02-08T17:47:37-05:00,2021-09-29
,,,marc-xml,Q49117,University of Pennsylvania,Ms. Roll 1906|9977508749403681,https://franklin.library.upenn.edu/catalog/FRANKLIN_9977508749403681,,"",,A.H. 1239 (1823),1823,http://vocab.getty.edu/aat/300404513,,,"","",Haza rūznāme-yi Dārendevī.,هذا روز نامۀ دارندوى.,"Calendars (documents by form)|Scrolls (information artifacts)|Tables (documents)|Manuscripts, Turkish--19th century.",,Astronomy--Tables.|Islamic calendar.,,"Dārendevī, Muḥammad ibn Ismāʻīl, active 17th century-18th century",دارندوي، محمد بن اسماعىل، active 17th century-18th century.,,"","",,"Hikmetī, active 1823,",حكمتى، active 1823.,,Ottoman Turkish.,ota,"Block, Gordon A., Jr., 1914-1973,","",,,"parchment, illuminations, tables ;","Extent: 2 membranes : parchment, illuminations, tables ; 95 x 840 mm.",,2022-02-08T17:47:37-05:00,2021-09-29
