row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Rome, Italy],",Rome|Italy,http://vocab.getty.edu/tgn/7000874|http://vocab.getty.edu/tgn/1000080
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Italy],",Italy,http://vocab.getty.edu/tgn/1000080
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z","[Central Europe],",Central Europe,http://vocab.getty.edu/tgn/4003755
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Central Europe] :,Central Europe,http://vocab.getty.edu/tgn/4003755
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Benelux countries] :,Low Countries,http://vocab.getty.edu/tgn/7029439
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[England] :,England,http://vocab.getty.edu/tgn/7002445
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",Venice :,Venice,http://vocab.getty.edu/tgn/7018159
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
