row_index,workflow_history,place_as_recorded,authorized_label,structured_value
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
35,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany]:,Germany,http://vocab.getty.edu/tgn/7000084
36,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
37,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
38,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Netherlands] :,Netherlands,http://vocab.getty.edu/tgn/7016845
39,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
40,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
41,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
42,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[England] :,England,http://vocab.getty.edu/tgn/7002445
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[England] :,England,http://vocab.getty.edu/tgn/7002445
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
51,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
52,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
53,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
54,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080
55,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
56,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
57,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
58,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
59,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Spain]:,Spain,http://vocab.getty.edu/tgn/1000095
60,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
61,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
62,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
63,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France] :,France,http://vocab.getty.edu/tgn/1000070
64,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
65,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Netherlands] :,Netherlands,http://vocab.getty.edu/tgn/7016845
66,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[France]:,France,http://vocab.getty.edu/tgn/1000070
67,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-06-20T17:17:43.936518800Z | PLACE RECON, STEP 3: START RECON 2023-06-20T17:50:26.823951400Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-06-21T14:18:07.062554100Z | PLACE RECON, STEP 6: FINALIZED 2023-06-21T14:41:57.893262900Z",[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080
