place_as_recorded,authorized_label,structured_value
"Amberg, Bavaria, Germany",Amberg|Bavaria|Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
Austria,Austria,http://vocab.getty.edu/tgn/1000062
Austria or Hungary,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Austria; Germany?,Austria|Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
Austria?,Austria,http://vocab.getty.edu/tgn/1000062
Austria? Hungary?,Austria|Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Barga,Barga,http://vocab.getty.edu/tgn/7006242
Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
"Belgium, Hainault","Belgium|Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
"Belgium, between ca. 1275 and ca. 1300",Belgium,http://vocab.getty.edu/tgn/1000063
"Bologna?, Italy",Bologna|Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
"Bruges?, Belgium",Bruges|Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
Byzantium,Istanbul,http://vocab.getty.edu/tgn/7002473
Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
China,China,http://vocab.getty.edu/tgn/1000111
Cologne?,Cologne,http://vocab.getty.edu/tgn/7004446
"Deccan, India",Deccan|India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
"Dijon, Burgundy, France",Dijon|Burgundy|France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
"Diocese of Treviso, Montello, Italy",Treviso|Volpago del Montello|Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
Engalnd,England,http://vocab.getty.edu/tgn/7002445
England,England,http://vocab.getty.edu/tgn/7002445
England and Spain,England|Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
"England,  Leicestershire and Staffordshire",England|Leicestershire|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/7008174
"England, Dorset",England|Dorset,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7011961
"England, East Anglia",England|East Anglia,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7012973
"England, Kent",England|Kent,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008153
"England, Leicestershire and Rutland",England|Leicestershire|Rutland,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008155;http://vocab.getty.edu/tgn/5000748
"England, Norfolk",England|Norfolk,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008160
"England, Possibly south-east.",England,http://vocab.getty.edu/tgn/7002445
"England, Staffordshire",England|Staffordshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008174
"England, Sussex",England|Sussex,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008133
"England, Warwickshire",England|Warwickshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008178
"England, Worcestershire",England|Worcestershire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/5000227
England?,England,http://vocab.getty.edu/tgn/7002445
England? France?,England|France,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000070
England? Wales?,England|Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
Europe (but not England),Europe,http://vocab.getty.edu/tgn/1000003
Flanders,Flanders,http://vocab.getty.edu/tgn/7024097
Flanders?,Flanders,http://vocab.getty.edu/tgn/7024097
"Florence, Italy",Florence|Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
"Florence?, Italy",Florence|Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080
France,France,http://vocab.getty.edu/tgn/1000070
France (?),France,http://vocab.getty.edu/tgn/1000070
France or Flanders,France|Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
"France, Anjou?",France|Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069
"France, Brittany",France|Brittany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024267
"France, Dauphiné",France|Dauphiné,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7007764
"France, Franche Comté (?)",France|Franche-Comté,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7645440
"France, Normandy",France|Normandy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002886
"France, Northern",France,http://vocab.getty.edu/tgn/1000070
"France, Picardy",France|Picardy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7002890
"France, probably between 1425 and 1450",France,http://vocab.getty.edu/tgn/1000070
France?,France,http://vocab.getty.edu/tgn/1000070
France? Netherlands?,France|Netherlands,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7016845
"France?, Champagne?",France|Champagne,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7658604
Germany,Germany,http://vocab.getty.edu/tgn/7000084
Germany (?),Germany,http://vocab.getty.edu/tgn/7000084
"Germany, Bavaria",Germany|Bavaria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003669
"Germany, Bavaria or west Austria?",Germany|Bavaria|Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/1000062
"Germany, Lorraine",Germany|Lorraine,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7024272
"Germany, Rhineland",Germany|Rhineland,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003683
"Germany, Rhineland, upper",Germany|Rhineland,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003683
"Germany, Thuringia",Germany|Thuringia,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7024274
"Germany, Upper Swabia",Germany|Oberschwaben,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7118137
Germany?,Germany,http://vocab.getty.edu/tgn/7000084
"Ghent?, Belgium",Ghent|Belgium,http://vocab.getty.edu/tgn/7007887;http://vocab.getty.edu/tgn/1000063
Granada,Granada,http://vocab.getty.edu/tgn/7007703
India,India,http://vocab.getty.edu/tgn/7000198
Iran,Iran,http://vocab.getty.edu/tgn/7000231
Italy,Italy,http://vocab.getty.edu/tgn/1000080
Italy (?),Italy,http://vocab.getty.edu/tgn/1000080
Italy (Fabriano),Italy|Fabriano,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7004004
"Italy, Campania",Italy|Campania,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Campania (?)",Italy|Campania,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Campania?",Italy|Campania,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003005
"Italy, Emilia-romagna",Italy|Emilia-Romagna,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008516
"Italy, Ferrara",Italy|Ferrara,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7004264
"Italy, Latium",Italy|Latium,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7594274
"Italy, Latium (?)",Italy|Latium,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7594274
"Italy, Lazio",Italy|Lazio,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003080
"Italy, Lazio?",Italy|Lazio,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003080
"Italy, Liguria",Italy|Liguria,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003236
"Italy, Lombardy",Italy|Lombardy,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237
"Italy, Lombardy or Savoy",Italy|Lombardy|Savoy,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237;http://vocab.getty.edu/tgn/7024413
"Italy, Lombardy?",Italy|Lombardy,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237
"Italy, Piedmont",Italy|Piedmont,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003120
"Italy, Sicily",Italy|Sicily,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003122
"Italy, Tuscany",Italy|Tuscany,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Tuscany (?)",Italy|Tuscany,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Tuscany?",Italy|Tuscany,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Umbria",Italy|Umbria,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Umbria ?",Italy|Umbria,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Umbria?",Italy|Umbria,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Veneto",Italy|Veneto,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002997
"Italy, Veneto ?",Italy|Veneto,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002997
Italy?,Italy,http://vocab.getty.edu/tgn/1000080
"Italy?, Emilia Romagna",Italy|Emilia-Romagna,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008516
"London?, England",London|England,http://vocab.getty.edu/tgn/7011781;http://vocab.getty.edu/tgn/7002445
Low Countries,Low Countries,http://vocab.getty.edu/tgn/7029439
"Low Countries, Lorraine",Low Countries|Lorraine,http://vocab.getty.edu/tgn/7029439;http://vocab.getty.edu/tgn/7024272
Low countries,Low Countries,http://vocab.getty.edu/tgn/7029439
Malta,Malta,http://vocab.getty.edu/tgn/7005729
Mexico,Mexico,http://vocab.getty.edu/tgn/7005560
"Milan, Italy",Milan|Italy,http://vocab.getty.edu/tgn/7005903;http://vocab.getty.edu/tgn/1000080
"Milan, Lombardy, Italy",Milan|Lombardy|Italy,http://vocab.getty.edu/tgn/7005903;http://vocab.getty.edu/tgn/7003237;http://vocab.getty.edu/tgn/1000080
Morocco,Morocco,http://vocab.getty.edu/tgn/1000179
"Naples, Italy",Naples|Italy,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/1000080
Netherlands,Netherlands,http://vocab.getty.edu/tgn/7016845
"Netherlands (now Ger, Cleves",Netherlands|Ger|Cleves,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/7647352;http://vocab.getty.edu/tgn/7012313
"Netherlands, Brabant",Netherlands|Brabant,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/7003463
"Netherlands, Holland",Netherlands|Holland,http://vocab.getty.edu/tgn/7016845;http://vocab.getty.edu/tgn/1003759
Netherlands?,Netherlands,http://vocab.getty.edu/tgn/7016845
Nola,Nola,http://vocab.getty.edu/tgn/7004644
North Africa,North Africa,http://vocab.getty.edu/tgn/7016886
Northern Italy,Northern Italy,http://vocab.getty.edu/tgn/4005363
"Oxford, England",Oxford|England,http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7002445
"Oxford?, England",Oxford|England,http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7002445
"Padua or Venice, Italy",Padua|Venice|Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080
"Padua?, Italy",Padua|Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080
Paris,Paris,http://vocab.getty.edu/tgn/7008038
"Paris, France",Paris|France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
"Paris?, France",Paris|France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
Persia,Persia,http://vocab.getty.edu/tgn/7024079
"Pontigny?, France",Pontigny|France,http://vocab.getty.edu/tgn/7008254;http://vocab.getty.edu/tgn/1000070
Prague,Prague,http://vocab.getty.edu/tgn/7006464
Provence or Spain,Provence|Spain,http://vocab.getty.edu/tgn/7012209;http://vocab.getty.edu/tgn/1000095
"Reims, France",Rheims|France,http://vocab.getty.edu/tgn/7011060;http://vocab.getty.edu/tgn/1000070
"Reims?, France",Rheims|France,http://vocab.getty.edu/tgn/7011060;http://vocab.getty.edu/tgn/1000070
Rome,Rome,http://vocab.getty.edu/tgn/7000874
"Rome?, Italy",Rome|Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080
"Rougeval, Belgium (near Brussels)",Belgium|Brussels,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007868
"Siena?, Italy",Siena|Italy,http://vocab.getty.edu/tgn/7011179;http://vocab.getty.edu/tgn/1000080
Southern France (?) or Italy,Southern France|Italy,http://vocab.getty.edu/tgn/4004037;http://vocab.getty.edu/tgn/1000080
Spain,Spain,http://vocab.getty.edu/tgn/1000095
Spain (?),Spain,http://vocab.getty.edu/tgn/1000095
"Spain, Catalonia",Spain|Catalonia,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/7030216
"Spain, Valencia",Spain|Valencia,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/7008769
Spain?,Spain,http://vocab.getty.edu/tgn/1000095
Switzerland,Switzerland,http://vocab.getty.edu/tgn/7011731
Switzerland; Germany,Switzerland|Germany,http://vocab.getty.edu/tgn/7011731;http://vocab.getty.edu/tgn/7000084
Switzerland?,Switzerland,http://vocab.getty.edu/tgn/7011731
Syria,Syria,http://vocab.getty.edu/tgn/1000140
"Šibenik, Croatia",Šibenik|Croatia,http://vocab.getty.edu/tgn/7015447;http://vocab.getty.edu/tgn/7006663
Turkey,Turkey,http://vocab.getty.edu/tgn/1000144
Undetermined,undetermined,http://vocab.getty.edu/tgn/7544559
Unknown,undetermined,http://vocab.getty.edu/tgn/7544559
Upper Saxony,Obersachsen,http://vocab.getty.edu/tgn/7114973
"Verona?, Italy",Verona|Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/1000080
"Wales, Gwent",Wales|Gwent,http://vocab.getty.edu/tgn/7002443;http://vocab.getty.edu/tgn/7008046
