title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_titles,standard_title
"Milke and hony, or a miscellanious collation of many Christian experiences, sayinges contentes and severall pleases =places of scripturs improved",,,,"Milk and Honey; or, a Miscellaneous Collation of Many Christian Experiences, Sayings, Sentences, and Several Places of Scripture Improved","Milk and Honey; or, a Miscellaneous Collation of Many Christian Experiences, Sayings, Sentences, and Several Places of Scripture Improved"
Miracles of the Virgin,,,,Miracles of the Virgin,Miracles of the Virgin
Miscellany,,,,Miscellany,Miscellany
Missal,,,,Missal,Missal
Missal for Dominican use,,,,Missal,Missal
"Missal, noted",,,,Missal,Missal
Missale,,,,Missal,Missal
Missale estivalis quem comparavit Johannes laicus de rastorf quondam mrg’ coq’ne felicis memorie qui obit in vigilia s. margarethe ac cuius anniversarium datur dominis xxx solidi annuatim ad caritatem.,,,,Missal,Missal
Moralia in Job,,,,Moralia in Job,Moralia in Job
Morte dell'Illustrissimo Signor Troilo Savelli,,,,Morte dell'Illustrissimo Signor Troilo Savelli,Morte dell'Illustrissimo Signor Troilo Savelli
Mémoires sur les choses qui se sont pass?es en France,,,,Mémoires sur les choses qui se sont passées en France,Mémoires sur les choses qui se sont passées en France
Naturalis Historia,,,,Naturalis Historia,Naturalis Historia
Nobilis et discretus vir dominus marcuspaulo de veneciis cum xxvi annis continuis,,,,Milione,Milione
Noted service book.,,,,Service book,Service book
Observations upon the rise and progress of the late Rebellion against King Charles the First,,,,Observations upon the rise and progress of the late Rebellion against King Charles the First,Observations upon the rise and progress of the late Rebellion against King Charles the First
Opusculum pulcherrimum de memorie naturalis reparatione,,,,De memorie naturalis reparatione,De memorie naturalis reparatione
Oratio,,,,Orationes,Orationes
Oratio pro se ipso <?>,,,,Orationes,Orationes
Orationes,,,,Orationes,Orationes
Orationes including Lucian of Samosata's Scipio,,,,Orationes,Orationes
Orationes itinerantium,,,,Orationes,Orationes
Order for peaceable behavior,,,,Order for peaceable behavior,Order for peaceable behavior
"Ordo ad confitendum de septem peccatibus mortalibus, et de condictionibus ea aggrauantibus, de x preceptis et vii virtutibus. De v sensibus et iii potentiis animae. De vii operibus misericordie corporalibus et sex spiritualibus Incipit prologus",,,,Ordo ad confitendum de septem peccatibus mortalibus,Ordo ad confitendum de septem peccatibus mortalibus
"Oreste e Pylade, a tragedy",,,,Oreste e Pylade,Oreste e Pylade
Organon and related texts,,,,Organon,Organon
Otia imperialia,,Otia imperialia,,Otia imperialia,Otia imperialia
Panormia,,,,Panormia,Panormia
Paradoxa,,,,Paradoxa,Paradoxa
Paschale carmen,,,,"Paschale carmen
","Paschale carmen
"
Pattern-book,,,,Pattern-book,Pattern-book
"Pattern-book of bridles, bits and straps",,,,Pattern-book,Pattern-book
Penitential Psalms and fifteen Gradula Psalms,,,,Psalter,Psalter
Peri Hermenias,,,,Periermenias,Periermenias
Periermenias Aristotelis ... etc,,,,Periermenias,Periermenias
Phaedon,,Phaedo.,,Phaedo,Phaedo
Phalaridis Epistolae,,,,Phalaridis Epistolae,Phalaridis Epistolae
Physica,,,,Physics,Physics
Plinii Veronensis de Viris illustribus Liber incipit feliciter. In nomine domini,,,,De Viris illustribus,De Viris illustribus
Poems based on the Seven Penitential Psalms,,,,Poems on the Seven Penitential Psalms,Poems on the Seven Penitential Psalms
"Poems, letters, prose",,,,Poems; Letters,Poems; Letters
Poetry,,,,Poems,Poems
Pontifical,,,,Pontifical,Pontifical
Pontifical and Missal,,,,Pontifical; Missal,Pontifical; Missal
Postilla in libro Ecclesiastico,,,,Commentary on Ecclesiastes,Commentary on Ecclesiastes
Postilla super totam Bibliam,,,,Commentary on the Bible,Commentary on the Bible
Prayer,,,,Prayers,Prayers
Prayerbook,,,,Prayers,Prayers
Prayers,,,,Prayers,Prayers
Prayers and devotional poems,,,,Prayers; devotional poems,Prayers; devotional poems
Prefaces to martyrologies,,,,Martyrologies,Martyrologies
Privilegia et documenta de monasterium S. Zenonis aiorii Veronae spectantia ab anno 883 usque ad annum 1533,,,,Privileges,Privileges
Pro Cluentio,,,,Pro Cluentio,Pro Cluentio
Probi Emilii liber de excellentissimus ducibus exterarum gentium feliciter incipit,,,,De excellentibus ducibus exterarum gentium,De excellentibus ducibus exterarum gentium
Processional,,,,Processional,Processional
Processional; Astronomical Text binding fragment,,,,Processional; Astronomy,Processional; Astronomy
Prologue to Liber questionum hebraicarum in Genesim,,,,Liber quaestionum Hebraicarum in Genesim,Liber quaestionum Hebraicarum in Genesim
Prologue to the Vitaspatrum Life of Macarius,,,,Life of Macarius,Life of Macarius
Psalms and Canticles,,,,Psalter,Psalter
Psalter,,,,Psalter,Psalter
Psalter for choir use,,,,Psalter,Psalter
Psalter of the Virgin,,,,Psalter,Psalter
"Psalter, diurnal",,,,Psalter,Psalter
"Psalter, ferial",,,,Psalter,Psalter
Quadragesimale,,,,Quadragesimale,Quadragesimale
Questiones Super Secundo Sententiarum,,,,Questiones Super Secundo Sententiarum,Questiones Super Secundo Sententiarum
Questiones logicales ... etc,,,,Questiones logicales,Questiones logicales
Quinque libri Egesippi nacione Judei de excidio iudeorum,,De bello Judaico.,,De bello Judaico,De bello Judaico
Quit claim,,,,Quitclaim,Quitclaim
Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.,,,,Unigenitus Dei Filius,Unigenitus Dei Filius
Quodlibeta / James of Viterbo ...et al,,,,Quodlibet,Quodlibet
Qur'ān leaf,,Qurʼan.,قرآن.,Qurʼan,Qurʼan
Quran Leaf,,,,Qurʼan,Qurʼan
Quran Leaves,,,,Qurʼan,Qurʼan
Qurʼān leaves,,Qurʼan.,قرآن.,Qurʼan,Qurʼan
Qurʼān selections and prayers,,Qurʼan.,,Qurʼan,Qurʼan
Rabanus de origine rerum,,,,De rerum naturis,De rerum naturis
"Ranulph Higden, Polychronicon Translation by John Trevisa",,,,Polychronicon,Polychronicon
Rayḥānat murtāḥ min Kitāb Rayḥān al-arwāḥ,,Rayḥān al-arwāḥ,,Rayḥān al-arwāḥ,Rayḥān al-arwāḥ
Re'gime du corps,,,,Régime du corps,Régime du corps
Receipt,,,,Receipts,Receipts
Receipt book,,,,Receipts,Receipts
Recipe against worms,,,,Medicine miscellany,Medicine miscellany
Recueil de diverses recettes médécinales,,,,Medicine miscellany,Medicine miscellany
Registrum Alphabeticum super octo libros Ptolomei Incipit feliciter,,,,Registrum Alphabeticum,Registrum Alphabeticum
Registrum aplphabeticum super octo libros Ptolomei,,,,Registrum Alphabeticum,Registrum Alphabeticum
Relazione d'Inghilterra,,,,Relazione d'Inghilterra,Relazione d'Inghilterra
Religiosorum status triplex,,,,Religiosorum status triplex,Religiosorum status triplex
Religious text,,,,Religious text,Religious text
Report of a miracle,,,,Miracles,Miracles
Requiem Mass and Office for the dead,,,,Office for the dead,Office for the dead
Rhetorica ad Herennium,,,,Rhetorica ad Herennium,Rhetorica ad Herennium
Rhyming verse,,,,Poems,Poems
Rime disperse,,,,Rime disperse,Rime disperse
Roman law,,,,Roman law,Roman law
Rubric: Predictis repetit ut alia addat differentias ponens de gratia et libero arbitrio,,,,Sententiae,Sententiae
Rule,,,,Rules,Rules
Rule of Living,,,,Rule of Living,Rule of Living
Rules of the Brotherhood of the Archangel Michael,,,,Rules of the Brotherhood of the Archangel Michael,Rules of the Brotherhood of the Archangel Michael
Sacramentary,,,,Sacramentary,Sacramentary
Saint's Life,,,,Lives of the Saints,Lives of the Saints
Saints Lives,,,,Lives of the Saints,Lives of the Saints
Saints lives,,,,Lives of the Saints,Lives of the Saints
Saṃkṣepaśārīraka,संक्षेपशारीरक.,Saṅkṣepaśārīraka.,,Saṃkṣepaśārīraka,Saṃkṣepaśārīraka
Saṃkṣepaśārīraka,"संक्षेपशारीरक,",Saṅkṣepaśārīraka.,,Saṃkṣepaśārīraka,Saṃkṣepaśārīraka
Sanctus hieronymus ad nepotianum de modo vivendi sic ait,,,,Epistola ad Nepotianum,Epistola ad Nepotianum
Satires,,,,Satires,Satires
Sayings,,,,Sayings,Sayings
Scholastic work,,,,Scholastic work,Scholastic work
Scholia in Novem Testamentum,,Bible.,,Bible,Bible
Scientific miscellany,,,,Scientific miscellany,Scientific miscellany
Scriptum super Sententiis,,,,Scriptum super Sententiis,Scriptum super Sententiis
Secreta secretorum (Secrets of Secrets),,,,Secrets of Secrets,Secrets of Secrets
Secundum consuetudinem ecclesie yspalensis,,,,Book of hours,Book of hours
Selections from commentaries on Alfīyat Ibn Mālik,,,,Commentaries on Alfīyat Ibn Mālik,Commentaries on Alfīyat Ibn Mālik
Sententia ex Augustino delibitae,,,,Sententiae,Sententiae
Sentenzie,,,,Sententiae,Sententiae
Sentiarium libri quatuor,,,,Sententiae,Sententiae
Sequentiary with commentary,,,,Sequentiary,Sequentiary
Sequitur ad complectorium,,,,Ad complectorium,Ad complectorium
Sequitur invective Alani ad invidum et detractorem,,,,Invectiva ad invidum et detractorem,Invectiva ad invidum et detractorem
Sequitur liber octavus lactantii firmani de ira dei ad donatum,,,,De ira Dei,De ira Dei
Sermo Beati Bernardi de perfectione monastice discipline,,,,Sermo de perfectione monastice discipline,Sermo de perfectione monastice discipline
Sermo Beati Bernardi de regno Christi et diaboli,,,,De regno Christi et diaboli,De regno Christi et diaboli
"Sermo beati bernardi de perfectione monstice discipline Incipit, lege foeliciter",,,,Sermo de perfectione monastice discipline,Sermo de perfectione monastice discipline
Sermo beati bernardi de regno christi et diaboli,,,,De regno Christi et diaboli,De regno Christi et diaboli
Sermo de spiritu sancto,,,,Sermo de spiritu sancto,Sermo de spiritu sancto
Sermon,,,,Sermons,Sermons
"Sermon-writing aid, in alphabetical order",,,,Sermons,Sermons
Sermones,,,,Sermons,Sermons
Sermones,,Miscellany,,Sermons,Sermons
Sermones de Tempore et de Sanctis; Summa Sermonum (fragment),,,,Sermones de Tempore et de Sanctis; Summa Sermonum,Sermones de Tempore et de Sanctis; Summa Sermonum
Sermons,,,,Sermons,Sermons
Sermons and Epistles,,,,Sermons; Epistles,Sermons; Epistles
Sermons for the temporale,,,,Sermons for the temporale,Sermons for the temporale
"Sermons of Barnardine Ochine of Sena, Godly frutfull and very necessary for all treue Christians translatid owt of Italian into Englishe",,,,Sermons,Sermons
Seven petitions of the Lord's Prayer,,,,Seven petitions of the Lord's Prayer,Seven petitions of the Lord's Prayer
Shah-nameh,,Shāhnāmah,,Shāhnāmah,Shāhnāmah
Sharḥ-i Nahj al-balāghah,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah.,شرح نهج البلاغة.,Sharḥ-i Nahj al-balāghah,Sharḥ-i Nahj al-balāghah
Sharḥ-i Zīj-i Ulugh Bēg,شرح زيج الغ بيگ.,Sharḥ-i Zīj-i jadīd-i Sulṭānī.,شرح زيج جديد سلطانى.,Sharḥ-i Zīj-i jadīd-i Sulṭānī,Sharḥ-i Zīj-i jadīd-i Sulṭānī
Shānāmah,,Shānāmah,,Shāhnāmah,Shāhnāmah
Six antiphonal vellum leaves,,,,Antiphonary,Antiphonary
Sonnets,,,,Sonnets,Sonnets
Speculum ecclesiae sive expositio missae,,,,Expositio missae sive Speculum ecclesiae,Expositio missae sive Speculum ecclesiae
"Speculum historiale, Books 25-28",,Speculum historiale.,,Speculum historiale,Speculum historiale
Statuta Angliae,,,,Statuta Angliae,Statuta Angliae
Statuta nova (New Statutes),,,,New Statutes,New Statutes
Statuta vetera (Old Statutes),,,,Antiqua statuta,Antiqua statuta
Statuta vetera (Old statutes),,,,Antiqua statuta,Antiqua statuta
Stephen Langton Interpretation of Hebrew Names of Bible,,,,"Interpretationes Hebraicorum nominum
","Interpretationes Hebraicorum nominum
"
Summa codicis,,,,Summa codicis,Summa codicis
Summa contra gentiles,,,,Summa contra gentiles,Summa contra gentiles
Summa de casibus conscientiae,,,,Summa de casibus conscientiae,Summa de casibus conscientiae
Summary of the Moralia in Job,,,,Moralia in Job,Moralia in Job
Summer Missale,,,,Missal,Missal
Sureties for peaceable behavior,,,,Sureties for peaceable behavior,Sureties for peaceable behavior
Synonyma,,,,Synonyma,Synonyma
Table of Contents,,,,Table of Contents,Table of Contents
Tabule illustrissimi principis regis alfonsii ... etc,,Alphonsine Tables.,,Alphonsine Tables,Alphonsine Tables
Tanbīh al-ghāfilīn,,,,Tanbīh al-ghāfilīn,Tanbīh al-ghāfilīn
Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn,تنبيه الغافلين وايضاح سبيل المرشدين.,Tanbīh al-ghāfilīn.,تنبيه الغافلين.,Tanbīh al-ghāfilīn,Tanbīh al-ghāfilīn
Tattvaviveka,"तत्त्वविवेक,",Vedāntatattvaviveka,,Vedāntatattvaviveka,Vedāntatattvaviveka
The romance of Troilus and Criseida,,,,Troilus and Criseida,Troilus and Criseida
Theological material,,,,Theological miscellany,Theological miscellany
Theological material?,,,,Theological miscellany,Theological miscellany
Thesaurus pauperum ... etc,,,,Thesaurus pauperum,Thesaurus pauperum
"Three legal treatises on civil and ecclesiastical law, with medicinal recipes, and notes and accounts related to the quartering of soldiers, probably in and near Hertfordshire (Broxbourne, Hoddesdon, and Epping), dated from 1639-1647",,,,Legal treatises; Medicinal recipes,Legal treatises; Medicinal recipes
Théseus de Cologne,,,,Théseus de Cologne,Théseus de Cologne
Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino,,,,Sylloge epigraphica Turonensis de S. Martino,Sylloge epigraphica Turonensis de S. Martino
Tractatum de spera ... etc,,Sphaera mundi,,Sphaera mundi,Sphaera mundi
Tractatus Ricardi Heremite de emendacione Vite sive Regula vivendi,,,,Emendatio Vitae,Emendatio Vitae
Tractatus Ricardi Heremite de hoc nomine Ihesus,,,,De nomine Ihesu,De nomine Ihesu
Tractatus de horis canonicis ...et al,,Miscellany.,,Miscellany,Miscellany
Tractatus de maleficiis (Treatise on evil deeds),,,,Treatise on evil deeds,Treatise on evil deeds
Tractatus de militia,,,,Tractatus de militia,Tractatus de militia
Tractatus de veneno spirituali,,,,De veneno spirituali,De veneno spirituali
Tractatus iudiciarii ordinis divisus in octo partes sive subtractatus,,,,Tractatus iudiciarii ordinis,Tractatus iudiciarii ordinis
Tractatus sancti bernardi de hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius,,,,De hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius,De hedifficanda domo spirituali atque interni et de nobilitate conscientie et septem columpnis eius
Trattato delle proportioni et proportionalità,,,,Trattato delle proportioni et proportionalità,Trattato delle proportioni et proportionalità
Travels of Sir John Mandeville,,,,Travels of Sir John Mandeville,Travels of Sir John Mandeville
Treatise on canon law,,,,Canon law,Canon law
Treatise on composing letters,,,,Treatise on composing letters,Treatise on composing letters
"Trumpet or organ? tablature, music notation principally to accompany sacred texts",,,,Tablature,Tablature
Tusculanae disputationes,,,,Tusculanae disputationes,Tusculanae disputationes
Two Leaves from a French Gradual,,Gradual.,,Gradual,Gradual
"Two documents relating to Halfhead Farm, near Shallowford in Staffordshire, 1660-1683",,,,Documents,Documents
Two leaves from a breviary,,,,Breviary,Breviary
Uṣūl al-handasah wa-al-ḥisāb /,اصول الهندسة والحساب /,Elements.,,Elements,Elements
Uṣūl al-handasah wa-al-ḥisāb. Fī bayān al-murabbaʻāt,اصول الهندسة والحساب. في بيان المربعات.,Elements.,,Elements,Elements
Vāmanasūkta,"वामनसूक्त,",Vedas.,,Vedas,Vedas
Verses about Saint Martin,,,,Poems on St Martin,Poems on St Martin
Vesperale,,,,Vesperale,Vesperale
"Via salutis, del dieta",,Diaeta salutis,,Diaeta salutis,Diaeta salutis
Viaticum,,,,Viaticum,Viaticum
Viridiarum consolationis,,,,Viridarium consolationis,Viridarium consolationis
Vita S. Pauli primi eremitae,,,,Life of St. Paul,Life of St. Paul
Vita beati Francisci ...et al,,Lives of the Saints.,,Lives of the Saints,Lives of the Saints
Vita divi Ildefonsi per Julianum,,,,Vita Ildefonsi,Vita Ildefonsi
Vitae Caesarum,,,,The Twelve Caesars,The Twelve Caesars
Vitae sanctorum,,,,Lives of the Saints,Lives of the Saints
Vitaspatrum,,,,Lives of the Fathers,Lives of the Fathers
Volgare Expositione della Sacra et sancta Oratione,,,,Expositione della Sacra et sancta Oratione,Expositione della Sacra et sancta Oratione
Volgare Expositione della Sacra et sancta Oratione Dominica Fatta da Frata Piero del Paradiso. Ad Suora Raphaella de Bernardi Ho... in christo Come Madre a llui Carissima,,,,Expositione della Sacra et sancta Oratione,Expositione della Sacra et sancta Oratione
Väterbuch,,,,Apophthegmata Patrum,Apophthegmata Patrum
Will,,,,Will,Will
Will?,,,,Will,Will
Writ,,,,Writ,Writ
Writ of Praecipe,,,,Writ,Writ
Ymage du monde,,Image du monde.,,Image du monde,Image du monde
Ynstruction of the ephimeredes,,,,"Opusculum astrologicum, ex diversorum libris, summa cura pro studiosorum utilitate collectum","Opusculum astrologicum, ex diversorum libris, summa cura pro studiosorum utilitate collectum"
Ziyārat-i ʻĀshūrāʼ,زیارت عاشوراء.,,,Ziyārat-i ʻĀshūrāʼ,Ziyārat-i ʻĀshūrāʼ
Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى.,,,Z̲akhīrah-ʹi Khvārazmshāhī,Z̲akhīrah-ʹi Khvārazmshāhī
al-Juzʼ al-awwal,الجزء الاول.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-ḥādī wa-al-ʻishrūn,الجزء الحادي والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-ḥādī ʻashr,الجزء الحادي عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-khāmis wa-al-ʻishrūn,الجزء الخامس والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,الجزء الخامس عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ,الجزء الرابع.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ wa-al-ʻishrūn,الجزء الرابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ ʻashar,الجزء الرابع عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-rābiʻ ʻashar min al-rabʻah al-sharīfah,الجزء الرابع عشر من الربعة الشريفة.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,الجزء السابع والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sādis,الجزء السادس.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-sādis ʻashar,الجزء السادس عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-tāsiʻ,الجزء التاسع.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-tāsiʻ ʻashar,الجزء التاسع عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thalāthūn,الجزء الثلاثون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin,الجزء الثامن.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin wa-al-ʻishrūn,الجزء الثامن والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thāmin ʻashar,الجزء الثامن عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Juzʼ al-thānī wa-al-ʻishrūn,الجزء الثاني والعشرون.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,المجلّد الرابع من المثنوي المعنوي الهادي الى صراط السوي.,Mas̲navī.,مثنوى.,Mas̲navī,Mas̲navī
al-Niṣf al-thānī min juzʼ aḥad ʻashar,النصف الثاني من جزء احد عشر.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,,Qurʼan,Qurʼan
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Qurʼān,القرآن,Qurʼan.,قرآن.,Qurʼan,Qurʼan
al-Shifāʼ al-sharīf,الشفاء الشريف.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,"Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
","Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
"
de memoria et reminiscentia,,,,De memoria et reminiscentia,De memoria et reminiscentia
de somno et vigilia,,,,De somno et vigilia,De somno et vigilia
hugonis canonici sancti victoris parisiensis de archa noe pro archa sapientiae cum archa ecclesiae de arch matris gratiae liber primus incipit,,,,De arca Noe,De arca Noe
