subject_as_recorded,source_authority_uri,authorized_label,structured_value
Abbots--Early works to 1800,,Abbots,http://id.worldcat.org/fast/794221
Accounting--France--14th century,,Accounting|France|Fourteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/933420
Adriatic Sea,,Mediterranean Sea--Adriatic Sea,http://id.worldcat.org/fast/1239504
Advaita,,Advaita,http://id.worldcat.org/fast/797410
Advaita--Early works to 1800,,Advaita,http://id.worldcat.org/fast/797410
Agriculture--Early works to 1800,,Agriculture,http://id.worldcat.org/fast/801355
Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
Alchemy--Early works to 1800,,Alchemy,http://id.worldcat.org/fast/804245
Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134
Animal culture,,Animal culture,http://id.worldcat.org/fast/809131
Animal culture--Early works to 1800,,Animal culture,http://id.worldcat.org/fast/809131
Antiquities,,Antiquities,http://id.worldcat.org/fast/810745
Aqueducts--Italy--Rome--Early works to 1800,,Aqueducts|Italy|Italy--Rome,http://id.worldcat.org/fast/812149|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204500
Arab countries,,Arab countries,http://id.worldcat.org/fast/1240128
Arab logic--Early works to 1800,,Arab logic,http://id.worldcat.org/fast/1748003
Arabic language--Dictionaries--Turkish,,Arabic language|Dictionaries|Turkish language,http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423826|http://id.worldcat.org/fast/1159411
"Arabic language--Glossaries, vocabularies, etc.--Early works to 1800",,"Arabic language|Glossaries, vocabularies, etc.",http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423786
Arabic language--Grammar,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Grammar--Early works to 1800,,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Versification--Early works to 1800,,Arabic language--Versification,http://id.worldcat.org/fast/812458
Arabic literature--Miscellanea--Early works to 1800,,Arabic literature|Miscellanea,http://id.worldcat.org/fast/812478|http://id.worldcat.org/fast/1353832
Arabic poetry--750-1258,,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry--Early works to 1800,,Arabic poetry,http://id.worldcat.org/fast/812533
Arithmetic,,Arithmetic,http://id.worldcat.org/fast/814484
Arithmetic--Early works to 1900,,Arithmetic,http://id.worldcat.org/fast/814484
Artillery--Early works to 1800,,Artillery,http://id.worldcat.org/fast/817490
Artillery--History,,Artillery|History,http://id.worldcat.org/fast/817490|http://id.worldcat.org/fast/1411628
Astrolabes--Early works to 1800,,Astrolabes,http://id.worldcat.org/fast/819392
Astrolabes--Islamic Empire,,Astrolabes|Islamic Empire,http://id.worldcat.org/fast/819392|http://id.worldcat.org/fast/1244134
"Astrology, Arab--Early works to 1800",,"Astrology, Arab",http://id.worldcat.org/fast/819451
Astrology--Early works to 1800,,Astrology,http://id.worldcat.org/fast/819398
Astronomical instruments--Early works to 1800,,Astronomical instruments,http://id.worldcat.org/fast/819641
Astronomy,,Astronomy,http://id.worldcat.org/fast/819673
"Astronomy, Arab--Early works to 1800",,"Astronomy, Arab",http://id.worldcat.org/fast/819764
"Astronomy, Arab--History",,"Astronomy, Arab|History",http://id.worldcat.org/fast/819764|http://id.worldcat.org/fast/1411628
"Astronomy, Arab--Tables--Early works to 1800",,"Astronomy, Arab--Tables",http://id.worldcat.org/fast/819766
"Astronomy, Medieval",,"Astronomy, Medieval",http://id.worldcat.org/fast/819781
Astronomy--Early works to 1800,,Astronomy,http://id.worldcat.org/fast/819673
Astronomy--Islamic countries--History,,Astronomy|Islamic countries|History,http://id.worldcat.org/fast/819673|http://id.worldcat.org/fast/1244130|http://id.worldcat.org/fast/1411628
Astronomy--Tables,,Astronomy--Tables,http://id.worldcat.org/fast/819745
Avatars (Religion),,Avatars (Religion),http://id.worldcat.org/fast/1429828
Bakers--England--Early works to 1800,,Bakers|England,http://id.worldcat.org/fast/1431877|http://id.worldcat.org/fast/1219920
Barga (Italy)--History,,Italy--Barga|History,http://id.worldcat.org/fast/1235479|http://id.worldcat.org/fast/1411628
Berber poetry--Morocco--Texts,,Berber poetry|Morocco|Texts,http://id.worldcat.org/fast/830649|http://id.worldcat.org/fast/1205592|http://id.worldcat.org/fast/1423705
Beverages--Religious aspects--Islam,,Drinking of alcoholic beverages--Religious aspects--Islam,http://id.worldcat.org/fast/898231
Beverages--Religious aspects--Islam--Early works to 1800,,Drinking of alcoholic beverages--Religious aspects--Islam,http://id.worldcat.org/fast/898231
Bishops--Early works to 1800,,Bishops,http://id.worldcat.org/fast/833378
Books of hours,,Books of hours,http://id.worldcat.org/fast/836484
Books of hours--Germany,,Books of hours|Germany,http://id.worldcat.org/fast/836484|http://id.worldcat.org/fast/1210272
Booksellers and bookselling--Early works to 1800,,Booksellers and bookselling,http://id.worldcat.org/fast/836492
"Botany, Medical--Early works to 1800",,"Botany, Medical",http://id.worldcat.org/fast/836961
Botany--Pictorial works--Early works to 1800,,Botany|Pictorial works,http://id.worldcat.org/fast/836869|http://id.worldcat.org/fast/1423874
Bread--England--Early works to 1800,,Bread|England,http://id.worldcat.org/fast/1198482|http://id.worldcat.org/fast/1219920
Bridles,,Bridles,http://id.worldcat.org/fast/838967
Bridles--Early works to 1800,,Bridles,http://id.worldcat.org/fast/838967
Cabala--Early works to 1800,,Cabala,http://id.worldcat.org/fast/843481
Calendar,,Calendar,http://id.worldcat.org/fast/844160
Canon law--Early works to 1800,,Canon law,http://id.worldcat.org/fast/845910
Cartography,,Cartography,http://id.worldcat.org/fast/848025
Cesena (Italy)--History,,Italy--Cesena|History,http://id.worldcat.org/fast/1205413|http://id.worldcat.org/fast/1411628
Chess--Early works to 1800,,Chess,http://id.worldcat.org/fast/853777
Christian life--Early works to 1800,,Christian life,http://id.worldcat.org/fast/859185
Christian saints,,Christian saints,http://id.worldcat.org/fast/859491
Christian saints--Italy--Biography--Early works to 1800,,Christian saints|Italy|Biographies,http://id.worldcat.org/fast/859491|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1919896
Church history,,Church history,http://id.worldcat.org/fast/1411629
Church history--Early works to 1800,,Church history,http://id.worldcat.org/fast/1411629
Ciphers--Early works to 1800,,Ciphers,http://id.worldcat.org/fast/861549
Cisterna di Latina (Italy),,Italy--Cisterna di Latina,http://id.worldcat.org/fast/1877258
City planning--Italy--Rome--Early works to 1800,,City planning|Italy|Italy--Rome,http://id.worldcat.org/fast/862177|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204500
Clothing and dress--Religious aspects--Islam--Early works to 1800,,Clothing and dress--Religious aspects--Islam,http://id.worldcat.org/fast/864715
Coffee--Early works to 1800,,Coffee,http://id.worldcat.org/fast/866301
"Confession--Catholic Church--Handbooks, manuals, etc.--Early works to 1800",,Confession--Catholic Church|Handbooks and manuals,http://id.worldcat.org/fast/1750863|http://id.worldcat.org/fast/1423877
Cosmography--Early works to 1800,,Cosmography,http://id.worldcat.org/fast/880594
Cosmology--Early works to 1800,,Cosmology,http://id.worldcat.org/fast/880600
Cryptography--Early works to 1800,,Cryptography,http://id.worldcat.org/fast/884552
Curiosities and wonders,,Curiosities and wonders,http://id.worldcat.org/fast/885285
Divination--Early works to 1800,,Divination,http://id.worldcat.org/fast/895747
Divination--Religious aspects--Early works to 1800,,Divination--Religious aspects,http://id.worldcat.org/fast/1425083
Divination--Religious aspects--Islam,,Divination--Religious aspects--Islam,http://id.worldcat.org/fast/895750
Divine office,,Divine office,http://id.worldcat.org/fast/895757
Druzes,,Druzes,http://id.worldcat.org/fast/899110
Druzes--Early works to 1800,,Druzes,http://id.worldcat.org/fast/899110
Druzes--Sacred books--Early works to 1800,,Druzes|Sacred books,http://id.worldcat.org/fast/899110|http://id.worldcat.org/fast/1423905
"Dutch War, 1672-1678",,Dutch War (1672-1678),http://id.worldcat.org/fast/899702
Dyes and dyeing--Early works to 1800,,Dyes and dyeing,http://id.worldcat.org/fast/900233
"Education--Turkey--History--Ottoman Empire, 1288-1918",,Education|Turkey|History|1288-1918,http://id.worldcat.org/fast/902499|http://id.worldcat.org/fast/1208963|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355456
Encyclopedias and dictionaries--Early works to 1600,,Encyclopedias and dictionaries,http://id.worldcat.org/fast/909533
Ephemerides--Early works to 1800,,Ephemerides,http://id.worldcat.org/fast/913680
"Epic poetry, Persian",,"Epic poetry, Persian",http://id.worldcat.org/fast/1741636
"Epic poetry, Persian--Early works to 1800",,"Epic poetry, Persian",http://id.worldcat.org/fast/1741636
"Erotic literature, Arabic--Early works to 1800",,"Erotic literature, Arabic",http://id.worldcat.org/fast/914800
Ethics,,Ethics,http://id.worldcat.org/fast/915833
Ethics--Early works to 1800,,Ethics,http://id.worldcat.org/fast/915833
Explosives--Early works to 1800,,Explosives,http://id.worldcat.org/fast/918611
Fever--Early works to 1800,,Fever,http://id.worldcat.org/fast/923528
France--Kings and rulers--Genealogy--Early works to 1800,,France|Kings and rulers|Genealogy,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/987694|http://id.worldcat.org/fast/1423818
Gambling--Religious aspects--Islam--Early works to 1800,,Gambling--Religious aspects--Islam,http://id.worldcat.org/fast/937417
Games--Religious aspects--Islam--Early works to 1800,,Games--Religious aspects--Islam,http://id.worldcat.org/fast/2006519
"Geography, Arab",,"Geography, Arab",http://id.worldcat.org/fast/940571
"Geography, Arab--Early works to 1800",,"Geography, Arab",http://id.worldcat.org/fast/940571
"Geography, Medieval",,"Geography, Medieval",http://id.worldcat.org/fast/940573
Geography--Early works to 1800,,Geography,http://id.worldcat.org/fast/940469
Geomancy,,Geomancy,http://id.worldcat.org/fast/940820
Geomancy--Islamic countries--Early works to 1800,,Geomancy|Islamic countries,http://id.worldcat.org/fast/940820|http://id.worldcat.org/fast/1244130
Geometry,,Geometry,http://id.worldcat.org/fast/940864
Geometry--Arab countries--History,,Geometry|Arab countries|History,http://id.worldcat.org/fast/940864|http://id.worldcat.org/fast/1240128|http://id.worldcat.org/fast/1411628
Geometry--Early works to 1800,,Geometry,http://id.worldcat.org/fast/940864
Geometry--Islamic countries--History,,Geometry|Islamic countries|History,http://id.worldcat.org/fast/940864|http://id.worldcat.org/fast/1244130|http://id.worldcat.org/fast/1411628
Germany,,Germany,http://id.worldcat.org/fast/1210272
"Ghazals, Persian--Early works to 1800",,"Ghazals, Persian",http://id.worldcat.org/fast/942362
God (Islam)--Mercy--Early works to 1800,,God (Islam)--Mercy,http://id.worldcat.org/fast/944148
Grand tours (Education),,Grand tours (Education),http://id.worldcat.org/fast/946335
Great Britain--Kings and rulers--Genealogy--Early works to 1800,,Great Britain|Kings and rulers|Genealogy,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/987694|http://id.worldcat.org/fast/1423818
Hadith,,Hadith,http://id.worldcat.org/fast/950112
Hadith--Authorities--Early works to 1800,,Hadith--Authorities,http://id.worldcat.org/fast/950115
Hadith--Commentaries--Early works to 1800,,Hadith--Commentaries,http://id.worldcat.org/fast/950119
"Hadith--Criticism, interpretation, etc.--Early works to 1800",,"Hadith|Criticism, interpretation, etc.",http://id.worldcat.org/fast/950112|http://id.worldcat.org/fast/1411635
Hagiography,,Hagiography,http://id.worldcat.org/fast/950239
Hair--Dyeing and bleaching--Religious aspects--Islam--Early works to 1800,,Hair--Dyeing and bleaching|Islam,http://id.worldcat.org/fast/950368|http://id.worldcat.org/fast/979776
Hair--Religious aspects--Islam--Early works to 1800,,Hair--Religious aspects--Islam,http://id.worldcat.org/fast/950375
Hair--Removal--Early works to 1800,,Hair--Removal,http://id.worldcat.org/fast/950378
Hair--Removal--Legal aspects--Islamic law--Early works to 1800,,Hair--Removal|Islamic law,http://id.worldcat.org/fast/950378|http://id.worldcat.org/fast/979949
Hanafites--Early works to 1800,,Hanafites,http://id.worldcat.org/fast/950818
Hanbalites--Early works to 1800,,Hanbalites,http://id.worldcat.org/fast/950821
Happiness,,Happiness,http://id.worldcat.org/fast/951160
Happiness--Early works to 1800,,Happiness,http://id.worldcat.org/fast/951160
Headgear--Religious aspects--Islam--Early works to 1800,,Headgear--Religious aspects--Islam,http://id.worldcat.org/fast/2016453
Hebrew language--Etymology--Early works to 1800,,Hebrew language--Etymology,http://id.worldcat.org/fast/954220
"Hindu hymns, Sanskrit",,"Hindu hymns, Sanskrit",http://id.worldcat.org/fast/957053
Hindu mythology,,Hindu mythology,http://id.worldcat.org/fast/1729920
Hindu philosophy,,Hindu philosophy,http://id.worldcat.org/fast/1729923
Hindu philosophy--Early works to 1800,,Hindu philosophy,http://id.worldcat.org/fast/1729923
Hinduism--Rituals--Texts,,Hinduism--Rituals|Texts,http://id.worldcat.org/fast/957154|http://id.worldcat.org/fast/1423705
"History, Universal--Early works to 1800",,World history,http://id.worldcat.org/fast/1181345
Horsemanship--Equipment and supplies,,Horsemanship--Equipment and supplies,http://id.worldcat.org/fast/960566
Horsemanship--Equipment and supplies--Early works to 1800,,Horsemanship--Equipment and supplies,http://id.worldcat.org/fast/960566
Iceland,,Iceland,http://id.worldcat.org/fast/1210572
"Illumination of books and manuscripts, Carolingian",,"Illumination of books and manuscripts, Carolingian",http://id.worldcat.org/fast/967267
"Illumination of books and manuscripts, Carolingian--Specimens",,"Illumination of books and manuscripts, Carolingian|Specimens",http://id.worldcat.org/fast/967267|http://id.worldcat.org/fast/1423861
"Illumination of books and manuscripts, Iranian",,"Illumination of books and manuscripts, Iranian",http://id.worldcat.org/fast/967304
Illumination of books and manuscripts--Specimens,,Illumination of books and manuscripts|Specimens,http://id.worldcat.org/fast/967235|http://id.worldcat.org/fast/1423861
Immortality,,Immortality,http://id.worldcat.org/fast/967853
Immortality--Early works to 1800,,Immortality,http://id.worldcat.org/fast/967853
Intellect--Religious aspects--Islam,,Intellect--Religious aspects--Islam,http://id.worldcat.org/fast/975753
Internal revenue,,Internal revenue,http://id.worldcat.org/fast/976615
Internal revenue--Iceland,,Internal revenue|Iceland,http://id.worldcat.org/fast/976615|http://id.worldcat.org/fast/1210572
Iran,,Iran,http://id.worldcat.org/fast/1204889
Iran--History--To 640--Poetry,,Iran|History|Poetry,http://id.worldcat.org/fast/1204889|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1423828
Islam,,Islam,http://id.worldcat.org/fast/979776
Islam--Customs and practices,,Islam--Customs and practices,http://id.worldcat.org/fast/979785
Islam--Customs and practices--Early works to 1800,,Islam--Customs and practices,http://id.worldcat.org/fast/979785
Islam--Doctrines--Early works to 1800,,Islam--Doctrines,http://id.worldcat.org/fast/979787
Islam--Early works to 1800,,Islam,http://id.worldcat.org/fast/979776
Islam--Prayers and devotions,,Islam--Prayers and devotions,http://id.worldcat.org/fast/979821
Islam--Prayers and devotions--Early works to 1800,,Islam--Prayers and devotions,http://id.worldcat.org/fast/979821
Islamic Empire--History,,Islamic Empire|History,http://id.worldcat.org/fast/1244134|http://id.worldcat.org/fast/1411628
Islamic Empire--Kings and rulers,,Islamic Empire|Kings and rulers,http://id.worldcat.org/fast/1244134|http://id.worldcat.org/fast/987694
Islamic calendar,,Islamic calendar,http://id.worldcat.org/fast/1730291
Islamic calendar--Early works to 1800,,Islamic calendar,http://id.worldcat.org/fast/1730291
Islamic countries,,Islamic countries,http://id.worldcat.org/fast/1244130
"Islamic countries--Commerce--Handbooks, manuals, etc",,Islamic countries|Commerce|Handbooks and manuals,http://id.worldcat.org/fast/1244130|http://id.worldcat.org/fast/869279|http://id.worldcat.org/fast/1423877
Islamic ethics,,Islamic ethics,http://id.worldcat.org/fast/979936
Islamic ethics--Early works to 1800,,Islamic ethics,http://id.worldcat.org/fast/979936
Islamic etiquette--Early works to 1800,,Islamic etiquette,http://id.worldcat.org/fast/979940
Islamic heresies--Early works to 1800,,Islamic heresies,http://id.worldcat.org/fast/1730330
Islamic hygiene--Early works to 1800,,Islamic hygiene,http://id.worldcat.org/fast/1730332
Islamic illumination of books and manuscripts,,Islamic illumination of books and manuscripts,http://id.worldcat.org/fast/1730333
Islamic illumination of books and manuscripts--Iran,,Islamic illumination of books and manuscripts|Iran,http://id.worldcat.org/fast/1730333|http://id.worldcat.org/fast/1204889
Islamic law,,Islamic law,http://id.worldcat.org/fast/979949
Islamic law--Early works to 1800,,Islamic law,http://id.worldcat.org/fast/979949
Islamic magic,,Islamic magic,http://id.worldcat.org/fast/1730344
Islamic magic--Early works to 1800,,Islamic magic,http://id.worldcat.org/fast/1730344
Islamic philosophy,,Islamic philosophy,http://id.worldcat.org/fast/1730358
Italy,,Italy,http://id.worldcat.org/fast/1204565
Italy--Rome,,Italy--Rome,http://id.worldcat.org/fast/1204500
Jewish astronomy--Early works to 1800,,Jewish astronomy,http://id.worldcat.org/fast/982662
Jews--History--586 B.C.-70 A.D,,Jews|History,http://id.worldcat.org/fast/983135|http://id.worldcat.org/fast/1411628
Jews--History--Early works to 1800,,Jews|History,http://id.worldcat.org/fast/983135|http://id.worldcat.org/fast/1411628
"Jews--History--Rebellion, 66-73",,Jews|History|Jewish Rebellion (66-73 A.D.),http://id.worldcat.org/fast/983135|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1404530
Jihad--Early works to 1800,,Jihad,http://id.worldcat.org/fast/983599
"Jugurthine War, 111-105 B.C--Early works to 1800",,Jugurthine War (111-105 B.C.),http://id.worldcat.org/fast/984778
Kings and rulers,,Kings and rulers,http://id.worldcat.org/fast/987694
Kings and rulers--Duties--Early works to 1800,,Kings and rulers--Duties,http://id.worldcat.org/fast/987703
Labyrinths--Early works to 1800,,Labyrinths,http://id.worldcat.org/fast/990468
Latin language--Grammar--Early works to 1500,,Latin language--Grammar,http://id.worldcat.org/fast/993167
Latin literature,,Latin literature,http://id.worldcat.org/fast/993331
Latin literature--History,,Latin literature|History,http://id.worldcat.org/fast/993331|http://id.worldcat.org/fast/1411628
Latin literature--Natural history,,Latin literature|Natural history,http://id.worldcat.org/fast/993331|http://id.worldcat.org/fast/1034268
Latin literature--Rhetoric,,Latin literature|Rhetoric,http://id.worldcat.org/fast/993331|http://id.worldcat.org/fast/1096948
Latin poetry,,Latin poetry,http://id.worldcat.org/fast/993373
Law,,Law,http://id.worldcat.org/fast/993678
Law--Iceland,,Law|Iceland,http://id.worldcat.org/fast/993678|http://id.worldcat.org/fast/1210572
"Letter writing, Persian",,"Letter writing, Persian",http://id.worldcat.org/fast/996745
"Letter writing, Turkish",,"Letter writing, Turkish",http://id.worldcat.org/fast/996758
Liquor laws (Islamic law),,Liquor laws (Islamic law),http://id.worldcat.org/fast/999738
