subject_as_recorded,source_authority_uri,authorized_label,structured_value
Liquor laws (Islamic law)--Early works to 1800,,Liquor laws (Islamic law),http://id.worldcat.org/fast/999738
Logic,,Logic,http://id.worldcat.org/fast/1002014
Logic--Early works to 1800,,Logic,http://id.worldcat.org/fast/1002014
Logic--Islamic Empire--Early works to 1800,,Logic|Islamic Empire,http://id.worldcat.org/fast/1002014|http://id.worldcat.org/fast/1244134
Magic--Early works to 1800,,Magic,http://id.worldcat.org/fast/1005468
Malikites,,Malikites,http://id.worldcat.org/fast/1006724
Malikites--Early works to 1800,,Malikites,http://id.worldcat.org/fast/1006724
Manuscripts,,Manuscripts,http://id.worldcat.org/fast/1424060
"Manuscripts, Arabic",,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278
"Manuscripts, Arabic--New York (State)--New York",,"Manuscripts, Arabic|New York (State)|New York (State)--New York",http://id.worldcat.org/fast/1008278|http://id.worldcat.org/fast/1210280|http://id.worldcat.org/fast/1204333
"Manuscripts, French",,"Manuscripts, French",http://id.worldcat.org/fast/1008338
"Manuscripts, French--Oregon--Eugene",,"Manuscripts, French|Oregon|Oregon--Eugene",http://id.worldcat.org/fast/1008338|http://id.worldcat.org/fast/1204579|http://id.worldcat.org/fast/1205922
"Manuscripts, German",,"Manuscripts, German",http://id.worldcat.org/fast/1008346
"Manuscripts, German--Oregon--Eugene",,"Manuscripts, German|Oregon|Oregon--Eugene",http://id.worldcat.org/fast/1008346|http://id.worldcat.org/fast/1204579|http://id.worldcat.org/fast/1205922
"Manuscripts, Latin (Medieval and modern)",,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399
"Manuscripts, Latin (Medieval and modern)--Oregon--Eugene",,"Manuscripts, Latin (Medieval and modern)|Oregon|Oregon--Eugene",http://id.worldcat.org/fast/1008399|http://id.worldcat.org/fast/1204579|http://id.worldcat.org/fast/1205922
"Manuscripts, Medieval",,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422
"Manuscripts, Medieval--Oregon--Eugene",,"Manuscripts, Medieval|Oregon|Oregon--Eugene",http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1204579|http://id.worldcat.org/fast/1205922
"Manuscripts, Persian",,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462
"Manuscripts, Persian--New York (State)--New York",,"Manuscripts, Persian|New York (State)|New York (State)--New York",http://id.worldcat.org/fast/1008462|http://id.worldcat.org/fast/1210280|http://id.worldcat.org/fast/1204333
"Manuscripts, Turkish",,"Manuscripts, Turkish",http://id.worldcat.org/fast/1008521
"Manuscripts, Turkish--New York (State)--New York",,"Manuscripts, Turkish|New York (State)|New York (State)--New York",http://id.worldcat.org/fast/1008521|http://id.worldcat.org/fast/1210280|http://id.worldcat.org/fast/1204333
Manuscripts--Oregon--Eugene,,Manuscripts|Oregon|Oregon--Eugene,http://id.worldcat.org/fast/1424060|http://id.worldcat.org/fast/1204579|http://id.worldcat.org/fast/1205922
"Markets--Islamic countries--Handbooks, manuals, etc",,Markets|Islamic countries|Handbooks and manuals,http://id.worldcat.org/fast/1010316|http://id.worldcat.org/fast/1244130|http://id.worldcat.org/fast/1423877
Marriage--Religious aspects--Christianity,,Marriage--Religious aspects--Christianity,http://id.worldcat.org/fast/1010496
Marriage--Religious aspects--Christianity--Early works to 1800,,Marriage--Religious aspects--Christianity,http://id.worldcat.org/fast/1010496
Marriage--Religious aspects--Islam--Early works to 1800,,Marriage--Religious aspects--Islam,http://id.worldcat.org/fast/1010506
"Materia medica, Vegetable--Early works to 1800",,"Materia medica, Vegetable",http://id.worldcat.org/fast/1011725
Materia medica--Early works to 1800,,Materia medica,http://id.worldcat.org/fast/1011707
Mathematical recreations--Early works to 1800,,Mathematical recreations,http://id.worldcat.org/fast/1012120
Mathematics,,Mathematics,http://id.worldcat.org/fast/1012163
"Mathematics, Arab--Early works to 1800",,"Mathematics, Arab",http://id.worldcat.org/fast/1012356
"Mathematics, Greek--Translations into Arabic",,"Mathematics, Greek",http://id.worldcat.org/fast/1012363
Mathematics--Early works to 1800,,Mathematics,http://id.worldcat.org/fast/1012163
Mecca (Saudi Arabia)--Pictorial works,,Saudi Arabia--Mecca|Pictorial works,http://id.worldcat.org/fast/1204780|http://id.worldcat.org/fast/1423874
Medea (Greek mythology),,"Medea, consort of Aegeus, King of Athens (Mythological character)",http://id.worldcat.org/fast/1013568
Medicinal plants--Early works to 1800,,Medicinal plants,http://id.worldcat.org/fast/1014866
Medicine,,Medicine,http://id.worldcat.org/fast/1014893
"Medicine, Greek and Roman",,"Medicine, Greek and Roman",http://id.worldcat.org/fast/1015251
"Medicine, Medieval",,"Medicine, Medieval",http://id.worldcat.org/fast/1015277
"Medicine, Persian--Early works to 1800",,"Medicine, Persian",http://id.worldcat.org/fast/1015308
Medicine--Early works to 1800,,Medicine,http://id.worldcat.org/fast/1014893
"Medicine--Formulae, receipts, prescriptions--Early works to 1800",,"Medicine--Formulae, receipts, prescriptions",http://id.worldcat.org/fast/1014953
Medicine--Turkey--Early works to 1800,,Medicine|Turkey,http://id.worldcat.org/fast/1014893|http://id.worldcat.org/fast/1208963
Medina (Saudi Arabia)--Pictorial works,,Saudi Arabia--Medina|Pictorial works,http://id.worldcat.org/fast/1213531|http://id.worldcat.org/fast/1423874
Mediterranean Sea,,Mediterranean Sea,http://id.worldcat.org/fast/1239753
Merchants--Italy,,Merchants|Italy,http://id.worldcat.org/fast/1017057|http://id.worldcat.org/fast/1204565
Metaphysics--Early works to 1800,,Metaphysics,http://id.worldcat.org/fast/1018304
Military art and science--Early works to 1800,,Military art and science,http://id.worldcat.org/fast/1020874
Mills and mill-work--Early works to 1800,,Mills and mill-work,http://id.worldcat.org/fast/1021870
Monastic and religious life,,Monastic and religious life,http://id.worldcat.org/fast/1025101
Moral exhortation--Early works to 1800,,Moral exhortation,http://id.worldcat.org/fast/1741190
Music theory--Arab countries--Early works to 1800,,Music theory|Arab countries,http://id.worldcat.org/fast/1030620|http://id.worldcat.org/fast/1240128
Music--Early works to 1800,,Music,http://id.worldcat.org/fast/1030269
Muslim pilgrims and pilgrimages--Iraq--Karbalāʼ--Early works to 1800,,Muslim pilgrims and pilgrimages|Iraq|Iraq--Karbalāʼ,http://id.worldcat.org/fast/1030970|http://id.worldcat.org/fast/1205757|http://id.worldcat.org/fast/1232324
Muslims--Conduct of life--Early works to 1800,,Muslims--Conduct of life,http://id.worldcat.org/fast/1031037
Mysticism,,Mysticism,http://id.worldcat.org/fast/1031629
Mysticism--Islam,,Mysticism--Islam,http://id.worldcat.org/fast/1031643
Nativity of Jesus Christ,,Nativity of Jesus Christ,http://id.worldcat.org/fast/1353868
Natural history,,Natural history,http://id.worldcat.org/fast/1034268
Natural history--Pre-Linnean works,,Natural history,http://id.worldcat.org/fast/1034268
Nobility--Spain--Early works to 1800,,Nobility|Spain,http://id.worldcat.org/fast/1038255|http://id.worldcat.org/fast/1204303
Nola (Italy),,Italy--Nola,http://id.worldcat.org/fast/1217539
Nosairians,,Nosairians,http://id.worldcat.org/fast/1039491
Oregon--Eugene,,Oregon--Eugene,http://id.worldcat.org/fast/1205922
Papacy,,Papacy,http://id.worldcat.org/fast/1052284
Papacy--History--Early works to 1800,,Papacy|History,http://id.worldcat.org/fast/1052284|http://id.worldcat.org/fast/1411628
Penance (Canon law),,Penance (Canon law),http://id.worldcat.org/fast/1056824
Perfumes--Religious aspects--Islam--Early works to 1800,,Perfumes--Religious aspects--Islam,http://id.worldcat.org/fast/2017297
"Persian language--Glossaries, vocabularies, etc.--Early works to 1800",,"Persian language|Glossaries, vocabularies, etc.",http://id.worldcat.org/fast/1058466|http://id.worldcat.org/fast/1423786
Persian letters,,Persian letters,http://id.worldcat.org/fast/1058523
Persian literature--747-1500,,Persian literature,http://id.worldcat.org/fast/1058528
Persian poetry,,Persian poetry,http://id.worldcat.org/fast/1058542
Persian poetry--747-1500,,Persian poetry,http://id.worldcat.org/fast/1058542
Persian poetry--747-1500--History and criticism,,"Persian poetry|Criticism, interpretation, etc.",http://id.worldcat.org/fast/1058542|http://id.worldcat.org/fast/1411635
Persian poetry--Early works to 1800,,Persian poetry,http://id.worldcat.org/fast/1058542
Persian prose literature,,Persian prose literature,http://id.worldcat.org/fast/1058548
Phaedra (Greek mythology) in literature,,Phaedra (Greek mythology) in literature,http://id.worldcat.org/fast/1060016
Philosophy,,Philosophy,http://id.worldcat.org/fast/1060777
"Philosophy, Indic",,"Philosophy, Indic",http://id.worldcat.org/fast/1060996
"Philosophy, Indic--Early works to 1800",,"Philosophy, Indic",http://id.worldcat.org/fast/1060996
"Philosophy, Medieval",,"Philosophy, Medieval",http://id.worldcat.org/fast/1061057
Philosophy--Poetry,,Philosophy|Poetry,http://id.worldcat.org/fast/1060777|http://id.worldcat.org/fast/1423828
Physical sciences--Early works to 1800,,Physical sciences,http://id.worldcat.org/fast/1062723
Physics--Early works to 1800,,Physics,http://id.worldcat.org/fast/1063025
Pigments--Early works to 1800,,Pigments,http://id.worldcat.org/fast/1063994
Pillars of Islam,,Pillars of Islam,http://id.worldcat.org/fast/1064104
Pillars of Islam--Early works to 1800,,Pillars of Islam,http://id.worldcat.org/fast/1064104
Plague--Early works to 1800,,Plague,http://id.worldcat.org/fast/1065045
Poetry,,Poetry,http://id.worldcat.org/fast/1423828
Poetry--Early works to 1800,,Poetry,http://id.worldcat.org/fast/1423828
Poligny (France),,France--Poligny,http://id.worldcat.org/fast/1258788
Pontine Marshes (Italy),,Italy--Pontine Marshes,http://id.worldcat.org/fast/1244738
Popes--Primacy,,Popes--Primacy,http://id.worldcat.org/fast/1071284
Popes--Primacy--Early works to 1800,,Popes--Primacy,http://id.worldcat.org/fast/1071284
Prayer--Islam,,Prayer--Islam,http://id.worldcat.org/fast/1074698
Prayer--Islam--Early works to 1800,,Prayer--Islam,http://id.worldcat.org/fast/1074698
Predestination,,Predestination,http://id.worldcat.org/fast/1075012
Quaestiones disputatae,,"Quaestiones disputatae (Thomas, Aquinas, Saint)",http://id.worldcat.org/fast/1365972
Real property--England--Suffolk,,Real property|England|England--Suffolk,http://id.worldcat.org/fast/1091096|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/1212535
Real property--England--Warwickshire,,Real property|England|England--Warwickshire,http://id.worldcat.org/fast/1091096|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/1212375
Religious ethics--Early works to 1800,,Religious ethics,http://id.worldcat.org/fast/1094052
Religious life--Islam--Early works to 1800,,Religious life--Islam,http://id.worldcat.org/fast/1094119
Religious life--Shīʻah--Early works to 1800,,Religious life--Islam,http://id.worldcat.org/fast/1094119
Rhetoric,,Rhetoric,http://id.worldcat.org/fast/1096948
"Rhetoric, Ancient",,"Rhetoric, Ancient",http://id.worldcat.org/fast/1096982
Rithmomachia (Game),,Rithmomachia (Game),http://id.worldcat.org/fast/1741843
Rome (Empire),,Rome (Empire),http://id.worldcat.org/fast/1204885
Rome (Italy)--Antiquities--Early works to 1800,,Italy--Rome|Antiquities,http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/810745
"Rome--History--Civil War, 43-31 B.C",,Italy--Rome|History|Roman Civil War (Rome : 43-31 B.C.),http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1352313
"Rome--History--Conspiracy of Catiline, 65-62 B.C",,Italy--Rome|History|Conspiracy of Catiline (Rome : 65-62 B.C.),http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1352536
Rome--History--Early works to 1800,,Italy--Rome|History,http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411628
"Rome--History--Kings, 753-510 B.C",,Italy--Rome|History|753-510 B.C.,http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355964
"Rome--History--Republic, 510-30 B.C",,Italy--Rome|History|Rome (Empire),http://id.worldcat.org/fast/1204500|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1204885
Sacrifice--Hinduism,,Sacrifice--Hinduism,http://id.worldcat.org/fast/1103254
Saudi Arabia--Mecca,,Saudi Arabia--Mecca,http://id.worldcat.org/fast/1204780
Science--Early works to 1800,,Science,http://id.worldcat.org/fast/1108176
Sermoneta (Italy),,Italy--Sermoneta,http://id.worldcat.org/fast/1267886
"Sermons, Latin",,"Sermons, Latin",http://id.worldcat.org/fast/1113283
"Sermons, Medieval",,"Sermons, Medieval",http://id.worldcat.org/fast/1113290
Sex--Religious aspects--Christianity,,Sex--Religious aspects--Christianity,http://id.worldcat.org/fast/1114193
Sex--Religious aspects--Christianity--Early works to 1800,,Sex--Religious aspects--Christianity,http://id.worldcat.org/fast/1114193
Sexual ethics--Religious aspects--Islam--Early works to 1800,,Sexual ethics--Religious aspects|Islam,http://id.worldcat.org/fast/1114840|http://id.worldcat.org/fast/979776
Shiite shrines--Early works to 1800,,Shiite shrines,http://id.worldcat.org/fast/1115975
Shiites--Customs and practices--Early works to 1800,,Shīʻah--Customs and practices,http://id.worldcat.org/fast/1117947
Shīʻah--Customs and practices,,Shīʻah--Customs and practices,http://id.worldcat.org/fast/1117947
Shīʻah--Customs and practices--Early works to 1800,,Shīʻah--Customs and practices,http://id.worldcat.org/fast/1117947
Shīʻah--Doctrines--Early works to 1800,,Shīʻah--Doctrines,http://id.worldcat.org/fast/1117948
Shīʻah--Miscellanea--Early works to 1800,,Shīʻah|Miscellanea,http://id.worldcat.org/fast/1117946|http://id.worldcat.org/fast/1353832
Smoking (Islamic law)--Early works to 1800,,Smoking (Islamic law),http://id.worldcat.org/fast/1121722
"Spain--History--Charles I, 1516-1556",,Spain|History|1516-1556,http://id.worldcat.org/fast/1204303|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355580
"Spain--History--Philip II, 1556-1598",,Spain|History|1556-1598,http://id.worldcat.org/fast/1204303|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355603
Spiritual life--Catholic Church--Early works to 1800,,Spiritual life--Catholic Church,http://id.worldcat.org/fast/1130109
Storytelling,,Storytelling,http://id.worldcat.org/fast/1134169
Sufi poetry--Early works to 1800,,Sufi poetry,http://id.worldcat.org/fast/1137220
Sufism--Controversial literature--Early works to 1800,,Sufism--Controversial literature,http://id.worldcat.org/fast/1137258
Sufism--Doctrines--Early works to 1800,,Sufism--Doctrines,http://id.worldcat.org/fast/1137260
Sufism--Early works to 1800,,Sufism,http://id.worldcat.org/fast/1137257
Šibenik (Croatia),,Croatia--Šibenik,http://id.worldcat.org/fast/1224473
Talismans--Early works to 1800,,Talismans,http://id.worldcat.org/fast/1142279
Talismans--Religious aspects--Early works to 1800,,Talismans,http://id.worldcat.org/fast/1142279
Talismans--Religious aspects--Islam,,Talismans|Islam,http://id.worldcat.org/fast/1142279|http://id.worldcat.org/fast/979776
Talismans--Religious aspects--Islam--Early works to 1800,,Talismans|Islam,http://id.worldcat.org/fast/1142279|http://id.worldcat.org/fast/979776
Tamazight poetry--Morocco--Texts,,Tamazight poetry|Morocco|Texts,http://id.worldcat.org/fast/1142403|http://id.worldcat.org/fast/1205592|http://id.worldcat.org/fast/1423705
Taqlīd--Early works to 1800,,Taqlīd,http://id.worldcat.org/fast/1143038
Taxation--Italy--Barga,,Taxation|Italy|Italy--Barga,http://id.worldcat.org/fast/1143876|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1235479
Teeth--Care and hygiene--Religious aspects--Islam--Early works to 1800,,Teeth--Care and hygiene|Islam,http://id.worldcat.org/fast/1145720|http://id.worldcat.org/fast/979776
Tenth of Muḥarram--Prayers--Early works to 1800,,Tenth of Muḥarram|Prayers,http://id.worldcat.org/fast/1147739|http://id.worldcat.org/fast/1074737
Textile industry--France--Early works to 1800,,Textile industry|France,http://id.worldcat.org/fast/1148828|http://id.worldcat.org/fast/1204289
Textile industry--Italy--Early works to 1800,,Textile industry|Italy,http://id.worldcat.org/fast/1148828|http://id.worldcat.org/fast/1204565
Theology,,Theology,http://id.worldcat.org/fast/1149559
"Theology, Doctrinal",,"Theology, Doctrinal",http://id.worldcat.org/fast/1149617
"Theology, Doctrinal--History--Middle Ages, 600-1500--Early works to 1800",,"Theology, Doctrinal|History|Middle Ages",http://id.worldcat.org/fast/1149617|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1020301
"Theology, Doctrinal--Middle Ages",,"Theology, Doctrinal--Middle Ages",http://id.worldcat.org/fast/1907241
Theology--Early works to 1800,,Theology,http://id.worldcat.org/fast/1149559
Theseus (Greek mythology) in literature,,"Theseus, King of Athens",http://id.worldcat.org/fast/1149949
Time measurements--Early works to 1800,,Time measurements,http://id.worldcat.org/fast/1151135
Toothpicks--Religious aspects--Islam--Early works to 1800,,Toothpicks|Islam,http://id.worldcat.org/fast/1152645|http://id.worldcat.org/fast/979776
Trials (Witchcraft)--Early works to 1800,,Trials (Witchcraft),http://id.worldcat.org/fast/1156425
Turbans--Religious aspects--Islam--Early works to 1800,,Turbans--Religious aspects--Islam,http://id.worldcat.org/fast/2019417
Turkey--History--1683-1829--Early works to 1800,,Turkey|History,http://id.worldcat.org/fast/1208963|http://id.worldcat.org/fast/1411628
"Turkey--History--Ottoman Empire, 1288-1918",,Turkey|History|1288-1918,http://id.worldcat.org/fast/1208963|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355456
Turkey--Politics and government--17th century--Early works to 1800,,Turkey|Politics and government|Seventeenth century,http://id.worldcat.org/fast/1208963|http://id.worldcat.org/fast/1919741|http://id.worldcat.org/fast/1113663
Turkish language--Early works to 1800,,Turkish language,http://id.worldcat.org/fast/1159411
Tuscany (Italy)--Commerce--Early works to 1800,,Italy--Tuscany|Commerce,http://id.worldcat.org/fast/1204477|http://id.worldcat.org/fast/869279
Tuscany (Italy)--Economic conditions--Early works to 1800,,Italy--Tuscany,http://id.worldcat.org/fast/1204477
Usury--Early works to 1800,,Usury,http://id.worldcat.org/fast/1163232
Vāmana (Hindu deity),,Vāmana (Hindu deity),http://id.worldcat.org/fast/1169392
Vedanta,,Vedanta,http://id.worldcat.org/fast/1164683
Vedanta--Early works to 1800,,Vedanta,http://id.worldcat.org/fast/1164683
Vishnu (Hindu deity),,Vishnu (Hindu deity),http://id.worldcat.org/fast/1167831
Warwickshire (England)--History,,England--Warwickshire|History,http://id.worldcat.org/fast/1212375|http://id.worldcat.org/fast/1411628
Weights and measures--England--Early works to 1800,,Weights and measures|England,http://id.worldcat.org/fast/1173497|http://id.worldcat.org/fast/1219920
Werewolves,,Werewolves,http://id.worldcat.org/fast/1173872
Werewolves--Early works to 1800,,Werewolves,http://id.worldcat.org/fast/1173872
Winchester (England)--History,,England--Winchester|History,http://id.worldcat.org/fast/1207401|http://id.worldcat.org/fast/1411628
Windmills--England--History,,Windmills|England|History,http://id.worldcat.org/fast/1175762|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/1411628
Witchcraft,,Witchcraft,http://id.worldcat.org/fast/1176327
Witchcraft--Early works to 1800,,Witchcraft,http://id.worldcat.org/fast/1176327
Women--Islamic Empire--Early works to 1800,,Women|Islamic Empire,http://id.worldcat.org/fast/1176568|http://id.worldcat.org/fast/1244134
Women--Sexual behavior--Early works to 1800,,Women--Sexual behavior,http://id.worldcat.org/fast/1176942
World history--Early works to 1800,,World history,http://id.worldcat.org/fast/1181345
