material_as_recorded,authorized_label,structured_value
?,undetermined,http://vocab.getty.edu/aat/300379012
"European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
fine vellum,parchment,http://vocab.getty.edu/aat/300011851
glazed paper,paper,http://vocab.getty.edu/aat/300014109
laid paper,paper,http://vocab.getty.edu/aat/300014109
"Laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"Laid paper with embossed margin, illuminations",paper,http://vocab.getty.edu/aat/300014109
laid paper with watermark,paper,http://vocab.getty.edu/aat/300014109
machine-made wove paper,paper,http://vocab.getty.edu/aat/300014109
Mixed,mixed media,http://vocab.getty.edu/aat/300163347
Non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
non-European laid paper,paper,http://vocab.getty.edu/aat/300014109
"non-European laid paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
palm (taliput) leaf,palm leaf,http://vocab.getty.edu/aat/300011894
Paper,paper,http://vocab.getty.edu/aat/300014109
paper,paper,http://vocab.getty.edu/aat/300014109
"paper, charts ;",paper,http://vocab.getty.edu/aat/300014109
"paper, col. ill.",paper,http://vocab.getty.edu/aat/300014109
"paper, color, illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, colored illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, color illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, color illustrations, coats of arms",paper,http://vocab.getty.edu/aat/300014109
"paper, color illustrations, music",paper,http://vocab.getty.edu/aat/300014109
"paper, diagrams",paper,http://vocab.getty.edu/aat/300014109
"paper, ill.",paper,http://vocab.getty.edu/aat/300014109
"paper, illumination",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations, maps, charts ;",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations;",paper,http://vocab.getty.edu/aat/300014109
"paper, illuminations ;",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrated",paper,http://vocab.getty.edu/aat/300014109
"paper, illustration",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
"paper, illustrations, music",paper,http://vocab.getty.edu/aat/300014109
"paper, music",paper,http://vocab.getty.edu/aat/300014109
"paper, oriental",paper,http://vocab.getty.edu/aat/300014109
"paper, orn: initial with crude profile.",paper,http://vocab.getty.edu/aat/300014109
"paper, parchment.",paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
"paper, seals",paper,http://vocab.getty.edu/aat/300014109
"paper, slight pen-work ornament.",paper,http://vocab.getty.edu/aat/300014109
"paper, tables",paper,http://vocab.getty.edu/aat/300014109
paper;,paper,http://vocab.getty.edu/aat/300014109
paper ;,paper,http://vocab.getty.edu/aat/300014109
paper.,paper,http://vocab.getty.edu/aat/300014109
Paper.,paper,http://vocab.getty.edu/aat/300014109
paper (?),paper;undetermined,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300379012
paper (2 leaves parchment),paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
paper (palimpsest),paper,http://vocab.getty.edu/aat/300014109
paper|paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper|parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"paper - 1^24^  2^26^  3^22^ 4^24^  5^24^  [through f. 120; change of watermark and format between ff. 120v and 121]  6^12^  7^14^  8^12^  9^12^(- 9, 10, 11, 12)",paper,http://vocab.getty.edu/aat/300014109
paper and parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"paper and parchment, color illustrations",paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
"paper and parchment, illuminations ;",paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper and parchment ;,paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper and parchment.,paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper and parchment|paper,paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper and parchment|parchment,paper;parchment,http://vocab.getty.edu/aat/300014109|http://vocab.getty.edu/aat/300011851
paper illustrations,paper,http://vocab.getty.edu/aat/300014109
"paper reinforced by card, color illustrations",paper,http://vocab.getty.edu/aat/300014109
parchement,parchment,http://vocab.getty.edu/aat/300011851
parchemnt,parchment,http://vocab.getty.edu/aat/300011851
parchmennt,parchment,http://vocab.getty.edu/aat/300011851
Parchment,parchment,http://vocab.getty.edu/aat/300011851
parchment,parchment,http://vocab.getty.edu/aat/300011851
"parchment,",parchment,http://vocab.getty.edu/aat/300011851
"parchment, coats of arms",parchment,http://vocab.getty.edu/aat/300011851
"parchment, col. ill.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, color",parchment,http://vocab.getty.edu/aat/300011851
"parchment, colored illustration",parchment,http://vocab.getty.edu/aat/300011851
"parchment, color illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, color illustrations, coats of arms",parchment,http://vocab.getty.edu/aat/300011851
"parchment, color illustrations, maps",parchment,http://vocab.getty.edu/aat/300011851
"parchment, color illustrations, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, decorated initials, music (neumes).",parchment,http://vocab.getty.edu/aat/300011851
"parchment, decorated initials.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, ill.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminated, miniatures.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminated.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations,",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, frontispiece, coat of arms ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, genealogical tables ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, portraits, coat of arms ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, portraits, genealogical tables ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations, tables",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations ;",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illuminations in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustration",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustrations.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, initials.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music (diastematic neumes).",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, decorated initials.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, illustrations.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn, initial.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn: drawing: eagle.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, ornamented initial, penwork.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, orn initial.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, paper",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment, penwork initials throughout",parchment,http://vocab.getty.edu/aat/300011851
"parchment, penwork initials throughout, added s. xiv",parchment,http://vocab.getty.edu/aat/300011851
"parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
"parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
parchment;,parchment,http://vocab.getty.edu/aat/300011851
parchment ;,parchment,http://vocab.getty.edu/aat/300011851
parchment :,parchment,http://vocab.getty.edu/aat/300011851
parchment.,parchment,http://vocab.getty.edu/aat/300011851
parchment (9 paper),parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment (goat),parchment,http://vocab.getty.edu/aat/300011851
parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
parchment|paper|paper and parchment,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment|paper and parchment,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchment|silk,parchment;silk,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300243428
parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"parchment and paper, color illustrations",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment and paper, color illustrations, music",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
"parchment and paper, illustrations",parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
parchmetn,parchment,http://vocab.getty.edu/aat/300011851
rag paper,paper,http://vocab.getty.edu/aat/300014109
stone,stone,http://vocab.getty.edu/aat/300011176
tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
vellulm,parchment,http://vocab.getty.edu/aat/300011851
vellum,parchment,http://vocab.getty.edu/aat/300011851
"vellum, col. ill ",parchment,http://vocab.getty.edu/aat/300011851
"vellum, col. ill.;",parchment,http://vocab.getty.edu/aat/300011851
"vellum, color illustrations",parchment,http://vocab.getty.edu/aat/300011851
"vellum, illuminated in gold and colors",parchment,http://vocab.getty.edu/aat/300011851
vellum and paper,parchment;paper,http://vocab.getty.edu/aat/300011851|http://vocab.getty.edu/aat/300014109
wood,wood,http://vocab.getty.edu/aat/300011914
wove paper,paper,http://vocab.getty.edu/aat/300014109
,undetermined,http://vocab.getty.edu/aat/300379012
